"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges"
"zI4ItYkPDOn","lha sa'i sbi rag","དེ་ ལྷ་ས འི་ སྦི་ཅིའུ་",5,"ལྷ་ས འི་ སྦི་ཅིའུ་",14,16,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,5,FALSE,FALSE
"oenQLRhLiNb","lha sa'i sbi rag gi gong","ག་ཚོད་ བྱས་ འཚོང་ གི་ ཡོད ། ད་ལྟ །",6,"ག་ཚོད་ བྱས་",17,18,FALSE,"n",FALSE,TRUE,"E",FALSE,FALSE,FALSE,3,TRUE,FALSE
"5qb2PYxLqM4","ma gir (money sending destination)","ཨ་ནི་ ་་་ ད་གིན་ <0> མ་གི ར་ ཉི་ཤུ་ ཐམ་པ་ དེ་ བསྐྱལ་ ཚར་ པས །",9,"མ་གི ར་",37,38,FALSE,"i",NA,FALSE,"R",FALSE,FALSE,FALSE,3,TRUE,FALSE
"5mNTH0eiuji","sgor mo nyi shu tham pa","ཨ་ནི་ ་་་ ད་གིན་ <0> མ་གི ར་ ཉི་ཤུ་ ཐམ་པ་ དེ་ བསྐྱལ་ ཚར་ པས །",9,"ཉི་ཤུ་ ཐམ་པ་ དེ་",39,41,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,5,FALSE,FALSE
"oCIP4v5rwxb","dngul (da lta sprod)","ད་ འདི་ <0> རང་ ལ་ སྟེར་ དགོས་ ད །",12,"འདི་",50,50,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,1,TRUE,FALSE
"GoyMsIuIcaj","bstan 'dzin","ད་ འདི་ <0> རང་ ལ་ སྟེར་ དགོས་ ད །",12,"རང་ ལ་",52,53,TRUE,"i",NA,FALSE,"R",TRUE,FALSE,TRUE,2,TRUE,FALSE
"rgILaj6N7v3","mig dmar","འདུག་ཟེ་ དེ་ ལས་ཀ་ བཅུག་ དང་ ཟེར་",17,"དེ་",76,76,FALSE,"i",NA,FALSE,"A",TRUE,FALSE,FALSE,1,TRUE,FALSE
"ljF0mfQMXTQ","las ka bcug dang","འདུག་ཟེ་ དེ་ ལས་ཀ་ བཅུག་ དང་ ཟེར་",17,"ལས་ཀ་ བཅུག་ དང་",77,79,FALSE,"n",NA,FALSE,"P",FALSE,FALSE,FALSE,4,FALSE,FALSE
"TAXmco5sbkD","lo bstan","ཅོག་ ང་ ལས་ཀ་ བཅུག་ གི་ རེད་ པས །",27,"ཅོག་",118,118,TRUE,"i",NA,FALSE,"A",TRUE,FALSE,TRUE,1,FALSE,FALSE
"Lwrv4GjzGcw","mig dmar","ཅོག་ ང་ ལས་ཀ་ བཅུག་ གི་ རེད་ པས །",27,"ང་",119,119,TRUE,"i",NA,FALSE,"P",TRUE,TRUE,FALSE,1,TRUE,FALSE
"C3jhXJCxFev","las ka (mig dmar bcug ya)","ཅོག་ ང་ ལས་ཀ་ བཅུག་ གི་ རེད་ པས །",27,"ལས་ཀ་",120,120,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,2,FALSE,FALSE
"CoPBDCCU1b1","mig dmar","བྱས་ ན་ རང་ ལོ་ ག་ཚོད་ ལ་ སླེབས་ ཀྱི་ ཡོད་ རེད ། ད་ལྟ །",42,"རང་",202,202,TRUE,"i",TRUE,FALSE,"COPS",TRUE,FALSE,TRUE,1,TRUE,FALSE
"28H8o3QJn4U","mig dmar gyi lo ","བྱས་ ན་ རང་ ལོ་ ག་ཚོད་ ལ་ སླེབས་ ཀྱི་ ཡོད་ རེད ། ད་ལྟ །",42,"ལོ་ ག་ཚོད་ ལ་",203,205,FALSE,"n",FALSE,TRUE,"E",FALSE,FALSE,FALSE,4,FALSE,FALSE
"gmpbl3M7pP9","mid dmar gyi bsdad stangs","ཨ་ནི་ ་་ རང་ བསྡད་ སྟངས་ དེ་ ཚོ་ <0> སུ ས་ སློབ་ བྱུང་ ་།",57,"རང་ བསྡད་ སྟངས་ དེ་ ཚོ་",284,288,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,5,FALSE,FALSE
"jOoFAYzQq7e","bsdad stangs slob mkhan","ཨ་ནི་ ་་ རང་ བསྡད་ སྟངས་ དེ་ ཚོ་ <0> སུ ས་ སློབ་ བྱུང་ ་།",57,"སུ ས་",290,291,FALSE,"n",FALSE,TRUE,"A",TRUE,FALSE,FALSE,2,TRUE,FALSE
"zq6OrjQALMh","tshong khang (physical)","ད་ལྟ་ ང་ ཚོ འི་ འདི ར་ ལས་ཀ འི་ ནང་ ལ་ ལམ་སེང་ ད་གར་",83,"ང་ ཚོ འི་ འདི ར་",429,433,TRUE,"i",NA,FALSE,"COPLOC",FALSE,FALSE,FALSE,5,TRUE,FALSE
"s2yObIv8MBHho","lam seng bcug dang","བཅུག་ ཆོག་ ཆོག་ དེ་འདྲས་ ཡོད་ མ་ རེད །",85,"ལས་ཀ འི་ ནང་ ལ་ ལམ་སེང་ ད་གར་ བཅུག་ དང་ ལབ་པ་ ད་གར་ བཅུག་ ཆོག་ ཆོག་ དེ་འདྲས་",434,447,FALSE,"n",NA,FALSE,"EXIST",FALSE,FALSE,FALSE,20,FALSE,FALSE
"OLJ6md0tzZs","lo bstan","ང ས་ རང་ ལ་ ད་ལྟ་",101,"ང ས་",522,523,TRUE,"i",NA,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE,FALSE
"4PblwYlyjiD","mig dmar","ང ས་ རང་ ལ་ ད་ལྟ་",101,"རང་ ལ་",524,525,TRUE,"i",NA,FALSE,"R",TRUE,FALSE,TRUE,2,TRUE,FALSE
"9sdxs5yyIr2","lhag pa bkra shis","ལྷག་པ་ བཀྲ་ཤིས་ ཡར་ _P_ ཡར་ ཤོག་ དང་",117,"ལྷག་པ་ བཀྲ་ཤིས་",593,594,TRUE,"i",NA,FALSE,"A",TRUE,FALSE,TRUE,4,FALSE,FALSE
"AKfV0YCqBw0","yar (tshong khang nang)","ལྷག་པ་ བཀྲ་ཤིས་ ཡར་ _P_ ཡར་ ཤོག་ དང་",117,"ཡར་",595,595,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,1,TRUE,FALSE
"R7WlUIrMOa9","yar (tshong khang nang)","ལྷག་པ་ བཀྲ་ཤིས་ ཡར་ _P_ ཡར་ ཤོག་ དང་",117,"ཡར་",597,597,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,1,TRUE,FALSE
"IKo3HfCKkWL","lo bstan","ང ས་ རང་ ལ་ སྐད་ཆ་ བཤད་ ཀྱི་ ཡོད །",123,"ང ས་",616,617,TRUE,"i",NA,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE,FALSE
"d1mZY7xs5wa","lhag pa bkra shis","ང ས་ རང་ ལ་ སྐད་ཆ་ བཤད་ ཀྱི་ ཡོད །",123,"རང་ ལ་",618,619,TRUE,"i",NA,FALSE,"R",TRUE,FALSE,TRUE,2,TRUE,FALSE
"lWAIxOowlHX","mig dmar gyi ming","རང་ གི་ མིང་ ལ་ ག་རེ་ ཟེར་",128,"རང་ གི་ མིང་ ལ་",639,642,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,4,FALSE,FALSE
"vQYJzZA2ryH","mig dmar gyi ming","རང་ གི་ མིང་ ལ་ ག་རེ་ ཟེར་",128,"ག་རེ་",643,643,FALSE,"n",FALSE,TRUE,"PRED",FALSE,FALSE,FALSE,2,TRUE,FALSE
"eev1vXLkApF","mig dmar gyi pa lags dang a ma lags","རང་ གི་ པ་ལགས་ དང་ ཨ་མ་ ལགས་",132,"རང་ གི་ པ་ལགས་ དང་ ཨ་མ་ ལགས་",653,658,FALSE,"i",NA,FALSE,"EXIST",TRUE,FALSE,FALSE,8,FALSE,FALSE
