"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges"
"zZJvAI1N4Gj","sbrum ma","ལྟ་ ཁྱེད་ རང་ ཟླ་བ་ ག་ཚོད་ ལ་ སླེབས་པ་ རེད །",2,"ཁྱེད་ རང་",4,5,TRUE,"i",NA,FALSE,"S",TRUE,FALSE,TRUE,2,TRUE,FALSE
"M21yk88WqZU","months of pregnancy","ལྟ་ ཁྱེད་ རང་ ཟླ་བ་ ག་ཚོད་ ལ་ སླེབས་པ་ རེད །",2,"ཟླ་བ་ ག་ཚོད་ ལ་",6,8,FALSE,"n",FALSE,TRUE,"E",FALSE,FALSE,FALSE,5,FALSE,FALSE
"6vMnEHVgSgx","sayers","ཁོང་ ཚོ ས་",12,"ཁོང་ ཚོ ས་",54,56,FALSE,"i",NA,FALSE,"A",TRUE,FALSE,FALSE,3,TRUE,FALSE
"WTXmp9ZgtCD","na tsha tsha po yod red","ན་ཚ་ ཚ་པོ་ ཞེ་པོ་ ཞིག་ ཡོད་ རེད་ ཟེར །",13,"ན་ཚ་ ཚ་པོ་ ཞེ་པོ་ ཞིག་ ཡོད་ རེད་",57,62,FALSE,"n",NA,FALSE,"P",FALSE,FALSE,FALSE,9,FALSE,FALSE
"zbq4geYuLWz","sbrum ma'i phru gu","ཁྱེད་ ཀྱི་ ཕྲུ་གུ་ བུ་ མིན་ འགྲོ་",21,"ཁྱེད་ ཀྱི་ ཕྲུ་གུ་",88,90,FALSE,"i",TRUE,FALSE,"COPS",TRUE,FALSE,FALSE,4,FALSE,FALSE
"jYVYr3B9es5","bu","ཁྱེད་ ཀྱི་ ཕྲུ་གུ་ བུ་ མིན་ འགྲོ་",21,"བུ་",91,91,FALSE,"n",FALSE,FALSE,"PRED",TRUE,FALSE,FALSE,1,FALSE,FALSE
"fPTVi6q3KXo","sbrum ma","ཁྱེད་ རང་ གིས་ ད་དུང་",27,"ཁྱེད་ རང་ གིས་",112,114,TRUE,"i",NA,FALSE,"A",TRUE,FALSE,TRUE,3,TRUE,TRUE
"m1TNbsqC2XywE","si pan za ya","སི་པན་ ཟ་ ཡ་ དགའ་པོ་ ཡོད་ ན་",29,"སི་པན་ ཟ སི་པན་ ཟ་ ཡ་",116,120,FALSE,"n",NA,FALSE,"P",FALSE,FALSE,FALSE,7,FALSE,FALSE
"Ru1gqpaoC1Z","sbrum ma'i phru gu","ལྟ་ དེ་འདྲས་སེ་ ལྟ་ དུས་ ཙམ་པ་ ཕྲུ་གུ་ བུ་ འདྲ་པོ་ ཞིག་ འདུག",41,"ཕྲུ་གུ་",183,183,FALSE,"i",TRUE,FALSE,"COPS",TRUE,FALSE,FALSE,2,FALSE,FALSE
"NPzwkakp111","bu (general)","ལྟ་ དེ་འདྲས་སེ་ ལྟ་ དུས་ ཙམ་པ་ ཕྲུ་གུ་ བུ་ འདྲ་པོ་ ཞིག་ འདུག",41,"བུ་ འདྲ་པོ་ ཞིག་",184,186,FALSE,"n",FALSE,FALSE,"PRED",TRUE,FALSE,FALSE,4,FALSE,FALSE
