"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges"
"uFhXqPeO6Fn","phur sgron","ཁྱེད་རང་ དགའ་རོགས་ སྒྲིག་པ་ རེད་ ཟེར །",33,"ཁྱེད་རང་",127,127,TRUE,"i",NA,FALSE,"A",TRUE,FALSE,TRUE,2,TRUE,FALSE
"aPCeDiX2Tvy","zla ba","ཁྱེད་རང་ དགའ་རོགས་ སྒྲིག་པ་ རེད་ ཟེར །",33,"དགའ་རོགས་",128,128,FALSE,"n",NA,FALSE,"P",TRUE,FALSE,FALSE,2,FALSE,FALSE
"v6nU9IJMU3f","zla sgron","ང ས་ གང་ག་ ཧ་གོ་ བྱུང་ །",38,"ང ས་",143,144,TRUE,"i",NA,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE,FALSE
"uO1HJecmb7i","Pudrön and Dawa's affair","ང ས་ གང་ག་ ཧ་གོ་ བྱུང་ །",38,"གང་ག་",145,145,FALSE,"i",NA,NA,"P",FALSE,FALSE,FALSE,2,FALSE,FALSE
"NKP7FykEaHe","phur sgron","ཁྱེད་རང་ ང འི་ གྲོགས་མོ་ ཡག་ ཤོས་ དེ་ རེད །",41,"ཁྱེད་རང་",163,163,TRUE,"i",TRUE,FALSE,"COPS",TRUE,FALSE,TRUE,2,TRUE,FALSE
"ZRvLy6GI7rS","phur sgron","ཁྱེད་རང་ ང འི་ གྲོགས་མོ་ ཡག་ ཤོས་ དེ་ རེད །",41,"ང འི་ གྲོགས་མོ་ ཡག་ ཤོས་ དེ་",164,169,TRUE,"i",FALSE,FALSE,"PRED",TRUE,FALSE,TRUE,7,FALSE,FALSE
"q15s3MVbHIx","phur sgron","བྱས་ ན འི་ ཁྱེད་རང་ ང འི་ གྲོགས་མོ འི་ ཡག་ ཤོས་",47,"ཁྱེད་རང་",205,205,TRUE,"i",TRUE,FALSE,"COPS",TRUE,FALSE,TRUE,2,TRUE,FALSE
"pfdUGPIvuaihB","phur sgron","དེ་ རེད་ ད །",48,"ང འི་ གྲོགས་མོ འི་ ཡག་ ཤོས་ དེ་",206,212,TRUE,"i",FALSE,FALSE,"PRED",TRUE,FALSE,TRUE,8,FALSE,FALSE
"jlJcdjio1Ho","zla ba","མི ས་ ང་ བཙུགས་པོ་ མ་ བཞག་ ན་",49,"མི ས་",216,217,FALSE,"n",NA,FALSE,"A",TRUE,FALSE,FALSE,2,FALSE,TRUE
"VoLj1pUSojy","zla sgron","མི ས་ ང་ བཙུགས་པོ་ མ་ བཞག་ ན་",49,"ང་",218,218,TRUE,"i",NA,FALSE,"P",TRUE,TRUE,FALSE,1,TRUE,TRUE
