"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges"
"1D4EAB4405B0D","rgan lags kyis","རྒན་ ལགས་ ཀྱིས་ དགོང་མོ འི་ སློབ་ཚན་ ཡོད་ རེད་ གསུང་ གིས །",8,"རྒན་ ལགས་ ཀྱིས་",30,32,FALSE,"i",NA,FALSE,"A",TRUE,FALSE,FALSE,3,FALSE,FALSE
"2BCDF0F1556C5","dgong mo'i slob tshan yod red","རྒན་ ལགས་ ཀྱིས་ དགོང་མོ འི་ སློབ་ཚན་ ཡོད་ རེད་ གསུང་ གིས །",8,"དགོང་མོ འི་ སློབ་ཚན་ ཡོད་ རེད་",33,37,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,7,FALSE,FALSE
"1A60EB42CF328","mi tsho slob grogs","ཁོ་ ཚོ་ སློབ་གྲྭ ར་ སློབ་སྦྱོང་ ཡོད་ མ་ རེད་ པས །",11,"ཁོ་ ཚོ་",50,51,FALSE,"i",NA,FALSE,"COPLOC",TRUE,FALSE,FALSE,2,TRUE,FALSE
"2FD76DFE94526","slob sbyong","ཁོ་ ཚོ་ སློབ་གྲྭ ར་ སློབ་སྦྱོང་ ཡོད་ མ་ རེད་ པས །",11,"སློབ་སྦྱོང་",54,54,FALSE,"n",NA,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE,FALSE
"DBC5A012BB66","nga tsho grogs mo 'di gas","ང་ ཚོ་ གྲོགས་མོ་ འདི་གས་",12,"ང་ ཚོ་ གྲོགས་མོ་ འདི་གས་",60,63,TRUE,"i",NA,FALSE,"S",TRUE,TRUE,FALSE,6,FALSE,TRUE
"31C9D540D5D79","phyi log la","ཕྱི་ལོག་ ལ་  <0> ཁ་ལག་ བཟའ་ གར་ ཕྱིན་པ་ ཡིན །",13,"ཕྱི་ལོག་ ལ་",64,65,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,3,FALSE,FALSE
"1467FEDF053CF","nang la","ནང་ ལ་ ཁ་ལག་ བཟའ་ ཡ་ མི་ འདུག་ གས །",15,"ནང་ ལ་",76,77,FALSE,"i",NA,FALSE,"COPLOC",FALSE,FALSE,FALSE,2,FALSE,FALSE
"2158CBF90E34A","kha lag bza' ya","ནང་ ལ་ ཁ་ལག་ བཟའ་ ཡ་ མི་ འདུག་ གས །",15,"ཁ་ལག་ བཟའ་ ཡ་",78,80,FALSE,"n",NA,FALSE,"EXIST",FALSE,FALSE,FALSE,3,FALSE,FALSE
"52F079E8C829","phur sgron","རང་ སློབ་སྦྱོང་ ལ་ དོ་སྣང་ བྱེད་ ཀྱི་ མིན་ པས་",18,"རང་",98,98,FALSE,"i",NA,FALSE,"S",TRUE,FALSE,FALSE,1,TRUE,TRUE
"18BE0C2044963","slob sbyong general","རང་ སློབ་སྦྱོང་ ལ་ དོ་སྣང་ བྱེད་ ཀྱི་ མིན་ པས་",18,"སློབ་སྦྱོང་ ལ་",99,100,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,3,FALSE,FALSE
