"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges"
"wILjdolAsP6","kro ma kro","འདི འི་ ཀྲུ་མ་ཀྲུ་ ལ་ ག་ཚོད་ རེད ལགས །",1,"འདི འི་ ཀྲུ་མ་ཀྲུ་ ལ་",1,4,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,6,FALSE,FALSE
"CouuHKeOxVu","kro ma kro'i gong tshad","འདི འི་ ཀྲུ་མ་ཀྲུ་ ལ་ ག་ཚོད་ རེད ལགས །",1,"ག་ཚོད་",5,5,FALSE,"n",FALSE,TRUE,"PRED",FALSE,FALSE,FALSE,2,TRUE,FALSE
"HXExidDbTRS","kro ma kro'i gong tshad","<0> སྒོར་མོ་ གཅིག་ ནས་ ཡང་ཏིག་ ཡོད་ མ་ རེད་ པས །",3,"སྒོར་མོ་ གཅིག་ ནས་",16,18,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,4,FALSE,FALSE
"ORsEhDjf1Fr","yang tig (tomato, initial)","<0> སྒོར་མོ་ གཅིག་ ནས་ ཡང་ཏིག་ ཡོད་ མ་ རེད་ པས །",3,"ཡང་ཏིག་",19,19,FALSE,"n",NA,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE,FALSE
"GOUTSbU6DsY","zla sgron","ང་ _P_ མང་པོ་ ཉོ་ ཡི་ ཡིན་ །",6,"ང་",39,39,TRUE,"i",NA,FALSE,"A",TRUE,TRUE,FALSE,1,TRUE,FALSE
"k3IEz836tDb","amount of tomato to buy","ང་ _P_ མང་པོ་ ཉོ་ ཡི་ ཡིན་ །",6,"མང་པོ་",41,41,FALSE,"n",NA,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE,FALSE
"pmI5X54T68K","mo'o tse 8","<0> མོའོ་ཙེ་ ༨ ནས་ ཡང་ཏིག་ ཡོད་ མ་ རེད་པ ས །",8,"མོའོ་ཙེ་ ༨ ནས་",52,54,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,4,FALSE,FALSE
"CKUonjlH7GV","yang tig (from 80 cents)","<0> མོའོ་ཙེ་ ༨ ནས་ ཡང་ཏིག་ ཡོད་ མ་ རེད་པ ས །",8,"ཡང་ཏིག་",55,55,FALSE,"n",NA,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE,FALSE
"4iWKQqs621F","mo'o tse 8","འོང <0> མོའོ་ཙེ་ ༨ ནས་ ཡང་ཏིག་ མི་ འདུག",9,"མོའོ་ཙེ་ ༨ ནས་",63,65,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,4,FALSE,FALSE
"N1ThdVgOkUl","yang tig (from 80 cents)","འོང <0> མོའོ་ཙེ་ ༨ ནས་ ཡང་ཏིག་ མི་ འདུག",9,"ཡང་ཏིག་",66,66,FALSE,"n",NA,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE,FALSE
"BXQiqnODmHI","zla sgron","<0> ང་ ལ་ འགྱིག་ཤོག་ ཅིག་ གནང་ དང་ །",11,"ང་ ལ་",72,73,TRUE,"i",NA,FALSE,"R",TRUE,TRUE,FALSE,2,TRUE,FALSE
