"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges"
"2DFC78E9D2642","dbyangs skyid","ང ས་ ནི་ རང་ <0> བསྡད་ ཨ་ ཡོད་ བསམས་ བྱུང་ །",4,"ང ས་ ནི་",16,18,TRUE,"i",NA,FALSE,"A",TRUE,TRUE,FALSE,3,TRUE,FALSE
"HMlEkWOBWlW","rang bsdad a yod","ང ས་ ནི་ རང་ <0> བསྡད་ ཨ་ ཡོད་ བསམས་ བྱུང་ །",4,"རང་ <0> བསྡད་ ཨ་ ཡོད་",19,23,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,4,TRUE,FALSE
"14515650BC3E0","dbyangs skyid","ང་ ལྦ་ཤིང་ཀྲན་ སྒྲི་སི་ ལ་ ཕྱིན་པ་ ཡིན་",18,"ང་",84,84,TRUE,"i",NA,FALSE,"S",TRUE,TRUE,FALSE,1,TRUE,FALSE
"1946773637C50","dbyangs skyid lags kyis 'gro sa","ང་ ལྦ་ཤིང་ཀྲན་ སྒྲི་སི་ ལ་ ཕྱིན་པ་ ཡིན་",18,"ལྦ་ཤིང་ཀྲན་ སྒྲི་སི་ ལ་",85,87,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,6,FALSE,FALSE
"28E3644FC8758","bsod nams","ང ར་ དེང་སང་ ལས་ཀ་ སེ་ མེད །",29,"ང ར་",127,128,TRUE,"i",NA,FALSE,"COPLOC",TRUE,TRUE,FALSE,2,TRUE,FALSE
"4A3C4876A1B","las ka","ང ར་ དེང་སང་ ལས་ཀ་ སེ་ མེད །",29,"ལས་ཀ་ སེ་",130,131,FALSE,"i",NA,FALSE,"EXIST",FALSE,FALSE,FALSE,3,FALSE,FALSE
"2A8B2D996A805","phru gu gnyis","ཕྲུ་གུ་ གཉིས་ ག་པ ར་ ཕྱིན་ སོང་ །",40,"ཕྲུ་གུ་ གཉིས་",174,175,FALSE,"i",NA,FALSE,"S",TRUE,FALSE,FALSE,3,FALSE,FALSE
"11B0E67F367DD","slob grwa (phru gu)","ཕྲུ་གུ་ གཉིས་ ག་པ ར་ ཕྱིན་ སོང་ །",40,"ག་པ ར་",176,177,FALSE,"n",NA,FALSE,"E",FALSE,FALSE,FALSE,3,TRUE,FALSE
"3629A50FAD2C9","phru gu gnyis","ཁོང་ གཉིས་ གཉིས་ སློབ་གྲྭ ར་ ཕྱིན་ སོང་ །",41,"ཁོང་ གཉིས་ གཉིས་",181,183,FALSE,"i",NA,FALSE,"S",TRUE,FALSE,FALSE,3,FALSE,FALSE
"367839A522455","slob grwa (phru gu)","ཁོང་ གཉིས་ གཉིས་ སློབ་གྲྭ ར་ ཕྱིན་ སོང་ །",41,"སློབ་གྲྭ ར་",184,185,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,3,FALSE,FALSE
"1F9CFC27C67F1","rgyal po","རྒྱལ་པོ་ ལགས་ དཔེ་མཛོད་ ཁང་ ལ་ ཐད་ སོང་",45,"རྒྱལ་པོ་ ལགས་",197,198,FALSE,"i",NA,FALSE,"S",TRUE,FALSE,FALSE,3,FALSE,FALSE
