"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges"
"280CA1A8A425","bod yig sde tshan gyi dpe mdzod","འདི་ བོད་ཡིག་ སྡེ་ཚན་ གྱི་ དཔེ་མཛོད་ རེད་ པས ལགས །",7,"འདི་",21,21,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,1,TRUE,FALSE
"324844D19047E","bod yig sde tshan gyi dpe mdzod","འདི་ བོད་ཡིག་ སྡེ་ཚན་ གྱི་ དཔེ་མཛོད་ རེད་ པས ལགས །",7,"བོད་ཡིག་ སྡེ་ཚན་ གྱི་ དཔེ་མཛོད་",22,25,FALSE,"i",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,7,FALSE,FALSE
"183DC7932D931","slob phrug","ཁྱེད་རང་ གང་ ནས་ ཕེབས་པ་ ཡིན་ ནམ །",10,"ཁྱེད་རང་",36,36,TRUE,"i",NA,FALSE,"S",TRUE,FALSE,TRUE,2,TRUE,FALSE
"1373D1F88358","rgya gar","ཁྱེད་རང་ གང་ ནས་ ཕེབས་པ་ ཡིན་ ནམ །",10,"གང་ ནས་",37,38,FALSE,"n",FALSE,TRUE,"E",FALSE,FALSE,FALSE,2,TRUE,FALSE
"2DBE5E8F59A6D","slob phrug","ང་ རྒྱ་གར་ ནས་ ཡོང་པ་ ཡིན །",11,"ང་",43,43,TRUE,"i",NA,FALSE,"S",TRUE,TRUE,FALSE,1,TRUE,FALSE
"F20CE11F519F","rgya gar","ང་ རྒྱ་གར་ ནས་ ཡོང་པ་ ཡིན །",11,"རྒྱ་གར་ ནས་",44,45,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,3,FALSE,FALSE
"1366768617","slob phrug","ང་ འདི ར་ སྤྱིར་བཏང་ <0> སློབ་སྦྱོང་ བྱེད་ གར་ ཡོང་བ་ ཡིན །",13,"ང་",50,50,TRUE,"i",NA,FALSE,"S",TRUE,TRUE,FALSE,1,TRUE,FALSE
"287C6AAAA209D","mtho slob","ང་ འདི ར་ སྤྱིར་བཏང་ <0> སློབ་སྦྱོང་ བྱེད་ གར་ ཡོང་བ་ ཡིན །",13,"འདི ར་",51,52,TRUE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,2,TRUE,FALSE
"2D868B44C8058","slob phrug","ཨ་ནི་ ང་ གཙོ་བོ་ རྒྱལ་རབས་ _P_ ཨ་ ཐོག་ ལ་ རིག་གཅིག་རྐང་འཛིན་ སློབ་སྦྱོང་ བྱས་པ་ ཡིན །",17,"ང་",76,76,TRUE,"i",NA,FALSE,"S",TRUE,TRUE,FALSE,1,TRUE,FALSE
"208A6ED2AD07F","rgyal rabs","ཨ་ནི་ ང་ གཙོ་བོ་ རྒྱལ་རབས་ _P_ ཨ་ ཐོག་ ལ་ རིག་གཅིག་རྐང་འཛིན་ སློབ་སྦྱོང་ བྱས་པ་ ཡིན །",17,"རྒྱལ་རབས་ _P_ ཨ་ ཐོག་ ལ་",78,82,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,6,FALSE,FALSE
"1F79B357D83D8","mtho slob","བྱས་ ཙང་ འདི ར་ ཡ་",19,"འདི ར་",92,93,TRUE,"i",NA,FALSE,"COPLOC",FALSE,FALSE,FALSE,2,TRUE,FALSE
"185A58E04FEB0","phyag dpe (general)","ཕྱག་དཔེ་ དེ་འདྲས་ གཡར་ གནང་ ཡ་ XX",20,"ཕྱག་དཔེ་ དེ་འདྲས་ གཡར་ གནང་ ཡ་",95,99,FALSE,"n",NA,FALSE,"EXIST",FALSE,FALSE,FALSE,7,FALSE,FALSE
"190C8DD569A6F","slob phrug","ཨ་ནི་ ང་ ཕྱག་དཔེ་ འདི་གས་ གཅིག་ །",32,"ང་",143,143,TRUE,"i",NA,FALSE,"A",TRUE,TRUE,FALSE,1,TRUE,FALSE
"3507643836B44","phyag dpe (general)","ཨ་ནི་ ང་ ཕྱག་དཔེ་ འདི་གས་ གཅིག་ །",32,"ཕྱག་དཔེ་ འདི་གས་ གཅིག་",144,146,FALSE,"n",NA,FALSE,"P",FALSE,FALSE,FALSE,5,FALSE,FALSE
"1CCB2A13BA1D","phyag dpe (general)","ཕལ་ཆེ་བ་ འདི་ ང་རང་ ཚོ་ རྒྱ་གར་ ནས་ འབྱོར་བ་ རེད །",46,"ཕལ་ཆེ་བ་ འདི་",187,188,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,3,FALSE,FALSE
"8961992833C0","dpe mdzod khang gi las byed pa","ཕལ་ཆེ་བ་ འདི་ ང་རང་ ཚོ་ རྒྱ་གར་ ནས་ འབྱོར་བ་ རེད །",46,"ང་རང་ ཚོ་",189,190,TRUE,"i",NA,FALSE,"A",TRUE,TRUE,FALSE,3,TRUE,FALSE
"2C9ECCA249218","rgya gar","ཕལ་ཆེ་བ་ འདི་ ང་རང་ ཚོ་ རྒྱ་གར་ ནས་ འབྱོར་བ་ རེད །",46,"རྒྱ་གར་ ནས་",191,192,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,3,FALSE,FALSE
"1D464245B2187","phyag dpe (general)","དེ་ <0> རྒྱ་གར་ རང་ ནས་ འབྱོར་ གྱི་ ཡོད་ རེད །",64,"དེ་",260,260,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,1,TRUE,FALSE
"A2450845844E","rgya gar","དེ་ <0> རྒྱ་གར་ རང་ ནས་ འབྱོར་ གྱི་ ཡོད་ རེད །",64,"རྒྱ་གར་ རང་ ནས་",262,264,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,4,FALSE,FALSE
"q0shQJ7RrjA","bod yig sde tshan gyi dpe mdzod","ཨ་ནི་ འདི་པ་ ཕྱག་དཔེ་ ཁ་ཤས་ ཡང་",66,"འདི་པ་",273,273,FALSE,"i",NA,FALSE,"COPLOC",FALSE,FALSE,FALSE,2,FALSE,FALSE
"198B0392148A8","phyag dpe (bod nang nas)","ཨ་ནི་ འདི་པ་ ཕྱག་དཔེ་ ཁ་ཤས་ ཡང་",66,"ཕྱག་དཔེ་ ཁ་ཤས་",274,275,FALSE,"n",NA,FALSE,"P",FALSE,FALSE,FALSE,4,FALSE,FALSE
"1epijBXfU6HR8","phyag dpe (bod nang nas)","འདུག་ཟེེ་ ཨང་ གདན་འདྲེན་ ཞུས་པ་ འདི་འདྲས་ ཡོད་ རེད་ པས །",69,"ཕྱག་དཔེ་ ཁ་ཤས་ ཡང་ <0> ལྷ་ས་ མི- ཨང མི་རིགས་ དཔར་བསྐྲུན་ ཁང་ དང་ ། ཡང་ པེ་ཅིང་ འདི་པ་ ནས་ / འདུག་ཟེེ་ ཨང་ གདན་འདྲེན་ ཞུས་པ་ འདི་འདྲས་",274,295,FALSE,"i",NA,FALSE,"EXIST",FALSE,FALSE,FALSE,30,FALSE,FALSE
"7WUzZytXaDu4Y","Trail 148","ཡང་ པེ་ཅིང་ འདི་པ་ ནས་ /",68,"ལྷ་ས་ མི- ཨང མི་རིགས་ དཔར་བསྐྲུན་ ཁང་ དང་ ། ཡང་ པེ་ཅིང་ འདི་པ་ ནས་",278,289,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,17,FALSE,FALSE
"2ABB33F74A383","lha sa mi rigs dpar bskrun khang","འདི་ ནི ང་ ཚོ་ དམིགས་བསལ་ གྱི་ དེང་སང་ ཅིག་ ལྟ་ གཅིག་ ལེབ་རྦ་རི་ ཐད་ཀ ར་ འབྱོར་པ་ འདི་འདྲས་ མེད །",71,"འདི་ ནི",301,302,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,1,FALSE,FALSE
"1899A138AD1C1","dpe mdzod khang gi las byed pa","འདི་ ནི ང་ ཚོ་ དམིགས་བསལ་ གྱི་ དེང་སང་ ཅིག་ ལྟ་ གཅིག་ ལེབ་རྦ་རི་ ཐད་ཀ ར་ འབྱོར་པ་ འདི་འདྲས་ མེད །",71,"ང་ ཚོ་",303,304,TRUE,"i",NA,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE,FALSE
"12C89E8441DCE","bod yig sde tshan gyi dpe mdzod","_%_ དཔེ་མཛོད་ རང་ ལ་ ཕྱག་དཔེ་ ཡོད་ བསྡད་པ་ མང་པོ་ ཞིག་ འདུག",74,"དཔེ་མཛོད་ རང་ ལ་",326,328,FALSE,"i",NA,FALSE,"COPLOC",FALSE,FALSE,FALSE,4,FALSE,FALSE
"2D0633C38B41E","phyag dpe (bod nang nas)","_%_ དཔེ་མཛོད་ རང་ ལ་ ཕྱག་དཔེ་ ཡོད་ བསྡད་པ་ མང་པོ་ ཞིག་ འདུག",74,"ཕྱག་དཔེ་ ཡོད་ བསྡད་པ་",329,331,FALSE,"i",NA,FALSE,"EXIST",FALSE,FALSE,FALSE,5,FALSE,FALSE
"2F8AAFEBA0AAF","phyag dpe (bod nang nas)","འདི་ ཚོ་ ད་ལྟ་ ང་ ཚོ་",76,"འདི་ ཚོ་",337,338,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,2,TRUE,FALSE
"2D066CEA7A801","dpe mdzod khang gi las byed pa","འདི་ ཚོ་ ད་ལྟ་ ང་ ཚོ་",76,"ང་ ཚོ་",340,341,TRUE,"i",NA,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE,FALSE
"QSgR1OGFJIElH","phyag dpe (bod nang nas)","<0> དཔེ་སྐྲུན་ ཞུས་པ་ དེ་ ཚང་མ་ དེབ་གཟུགས་ ཀྱི་ ནང་ ལ་ རེད་ བཞག་",84,"ཁོང་ ཚོ་ ནས་ <0> དཔེ་སྐྲུན་ ཞུས་པ་ དེ་",371,377,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,8,TRUE,FALSE
"2D92DC166972","deb gzugs","<0> དཔེ་སྐྲུན་ ཞུས་པ་ དེ་ ཚང་མ་ དེབ་གཟུགས་ ཀྱི་ ནང་ ལ་ རེད་ བཞག་",84,"དེབ་གཟུགས་ ཀྱི་ ནང་ ལ་",379,382,FALSE,"i",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,5,FALSE,FALSE
"3388D33886F61","slob phrug","ལྟ་ དཔེར་ན་ ཆ་བཞག་ ན་ ཁྱེད་རང་ དེ་ མཁྱེན་མཁྱེན་པ་ རེད་པ །",86,"ཁྱེད་རང་",391,391,TRUE,"i",NA,FALSE,"A",TRUE,FALSE,TRUE,2,TRUE,FALSE
"12E65DA9D8DA1","phyag dpe (bod nang nas)","ལྟ་ དཔེར་ན་ ཆ་བཞག་ ན་ ཁྱེད་རང་ དེ་ མཁྱེན་མཁྱེན་པ་ རེད་པ །",86,"དེ་",392,392,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,1,TRUE,FALSE
"C4B1EEE41C21","lha sa dang bod ljongs mi rigs dpe skrun khang","ཨ་ནི་ ད་ ཁོང་རྣམས་ཚོ ས་ དེ་",94,"ཁོང་རྣམས་ཚོ ས་",431,432,FALSE,"i",NA,FALSE,"A",FALSE,FALSE,FALSE,4,FALSE,FALSE
"1BDEDF6CC92D7","phyag dpe (bod nang nas)","ཨ་ནི་ ད་ ཁོང་རྣམས་ཚོ ས་ དེ་",94,"དེ་",433,433,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,1,TRUE,FALSE
"2BE437474D646","phyag dpe (bod nang nas)","ལྟ་ དེ་ ཚོ་ ང་ ཚོ་ གཞི་ནས་",102,"དེ་ ཚོ་",470,471,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,2,TRUE,FALSE
"F1EB45B87C2E","dpe mdzod khang gi las byed pa","ལྟ་ དེ་ ཚོ་ ང་ ཚོ་ གཞི་ནས་",102,"ང་ ཚོ་",472,473,TRUE,"i",NA,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE,FALSE
"11E2142A65273","slob phrug","ཨ་ནི་ ང་ གཙོ་བོ་ འདི ར",106,"ང་",486,486,TRUE,"i",NA,FALSE,"S",TRUE,TRUE,FALSE,1,TRUE,FALSE
"150C7F76F7D52","bod yig sde tshan gyi dpe mdzod","ཨ་ནི་ ང་ གཙོ་བོ་ འདི ར",106,"འདི ར",488,489,TRUE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,1,TRUE,FALSE
"370DBAF338661","bod skad nang bris pa'i rgyal rabs kyi deb","ཁ་ཤས་ ཤིག་ ང་ ཨང་",123,"ཁ་ཤས་ ཤིག་",591,592,FALSE,"n",NA,FALSE,"P",FALSE,FALSE,FALSE,3,FALSE,FALSE
"233CAD1C34F49","slob phrug","ཁ་ཤས་ ཤིག་ ང་ ཨང་",123,"ང་",593,593,TRUE,"i",NA,FALSE,"A",TRUE,TRUE,FALSE,1,TRUE,FALSE
"1C5E09BCBE1C7","bod dang rgya gar dang nub phyogs la bris pa'i deb","ཨ་ནི་ འདི་གས་ ཁྱེད་རང་ གིས་ <0> གཡར་ གནང་ ཐུབ་ ཀྱི་ རེད་ པས །",126,"འདི་གས་",605,605,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE,TRUE
"730D3DAB7122","dpe mdzod do dam pa","ཨ་ནི་ འདི་གས་ ཁྱེད་རང་ གིས་ <0> གཡར་ གནང་ ཐུབ་ ཀྱི་ རེད་ པས །",126,"ཁྱེད་རང་ གིས་",606,607,TRUE,"i",NA,FALSE,"A",TRUE,FALSE,TRUE,3,TRUE,FALSE
"725F36C420BE","mtho slob","མཐོ་སློབ་ ད་ག་རང་ གིས་ ཨ་ནི་",135,"མཐོ་སློབ་ ད་ག་རང་ གིས་",657,659,FALSE,"i",NA,FALSE,"A",FALSE,FALSE,FALSE,6,FALSE,FALSE
"301768964742F","dkar chag","དཀར་ཆག་ དེ་ ད་ལྟ་ ཀམ་པུར་ཊར་ བརྒྱུད་ ནས་ འགྲོ་ གི་ ཡོད་ རེད །",138,"དཀར་ཆག་ དེ་",663,664,FALSE,"i",NA,FALSE,"S",FALSE,FALSE,FALSE,3,FALSE,FALSE
"C5718172F74A","glog klad","དཀར་ཆག་ དེ་ ད་ལྟ་ ཀམ་པུར་ཊར་ བརྒྱུད་ ནས་ འགྲོ་ གི་ ཡོད་ རེད །",138,"ཀམ་པུར་ཊར་ བརྒྱུད་ ནས་",666,668,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,5,FALSE,FALSE
"F1929E2E2AB2","slob phrug","ཨང་ རྒན་ལགས་ ད་ལྟ་ འདི་ རག་ ཡ་ ཡོད་ རེད །",141,"རྒན་ལགས་",686,686,TRUE,"i",NA,FALSE,"A",TRUE,FALSE,TRUE,2,FALSE,FALSE
"302C286B67ADA","bod skad kyi thog la yod pa'i deb","ཨང་ རྒན་ལགས་ ད་ལྟ་ འདི་ རག་ ཡ་ ཡོད་ རེད །",141,"འདི་",688,688,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,1,TRUE,FALSE
"F6AC8F9910","deb 'bri mkhan gyis rtsom po y mtshan","འདི་ གང་ ཟེར་ དགོས་ ཀྱི་ རེད །",147,"འདི་",707,707,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,1,TRUE,FALSE
