"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges"
"1F9161A14276B","dbyangs skyid","ང་ ལྷ་ས་ ལ་ མགྱོགས་པོ་ འགྲོ་ མཁན་ ཡིན་ ད །",2,"ང་",3,3,TRUE,"i",NA,FALSE,"S",TRUE,TRUE,FALSE,1,TRUE,FALSE
"128B07A60D257","lha sa ","ང་ ལྷ་ས་ ལ་ མགྱོགས་པོ་ འགྲོ་ མཁན་ ཡིན་ ད །",2,"ལྷ་ས་ ལ་",4,5,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,3,FALSE,FALSE
"18BA787F25D47","bsod nams","ང་ <0> ལག་རྟགས་ གཅིག་ བསྐུར་ ཡ་ ཡོད་",7,"ང་",32,32,TRUE,"i",NA,FALSE,"COPLOC",TRUE,TRUE,FALSE,1,TRUE,FALSE
"9F50D44E9D05","lag rtags","ང་ <0> ལག་རྟགས་ གཅིག་ བསྐུར་ ཡ་ ཡོད་",7,"<0> ལག་རྟགས་ གཅིག་ བསྐུར་ ཡ་",33,37,FALSE,"n",NA,FALSE,"EXIST",FALSE,FALSE,FALSE,6,FALSE,FALSE
"1B0F6F41BA4FB","bkun dga'","ཀུན་དགའ་ སུ་ རེད །",15,"ཀུན་དགའ་",75,75,FALSE,"i",TRUE,FALSE,"COPS",TRUE,FALSE,FALSE,2,FALSE,FALSE
"612E265ECC66","bkun dga'","ཀུན་དགའ་ སུ་ རེད །",15,"སུ་",76,76,FALSE,"n",FALSE,TRUE,"PRED",TRUE,FALSE,FALSE,1,TRUE,FALSE
"23F5E50E78C67","bsod nams","<0> སྔོན་མ་ ང་ སློབ་གྲྭ ར་ འགྲོ་ དུས་ ཀྱི་ རེད །",18,"ང་",83,83,TRUE,"i",NA,FALSE,"S",TRUE,TRUE,FALSE,1,TRUE,FALSE
"1804BA9EE741","slob grwa","<0> སྔོན་མ་ ང་ སློབ་གྲྭ ར་ འགྲོ་ དུས་ ཀྱི་ རེད །",18,"སློབ་གྲྭ ར་",84,85,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,3,FALSE,FALSE
"1755BED5E53B4","bkun dga'","ཀུན་དགའ་ ང་ གཉིས་ མ་ ཐུག་པ ར་",24,"ཀུན་དགའ་",107,107,FALSE,"i",NA,FALSE,"P",TRUE,FALSE,FALSE,2,FALSE,FALSE
"24047EC5B5A6C","dbyangs skyid dang bsod nams","ཀུན་དགའ་ ང་ གཉིས་ མ་ ཐུག་པ ར་",24,"ང་ གཉིས་",108,109,TRUE,"i",NA,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE,TRUE
"46070539E36C","bkun dga'","བྱས་ ཙང་ <0> མོ་རང་ ལ་ ཡ་ ལག་རྟགས་ གཅིག་ བསྐུར་ དགོས་ ཡོད །",40,"མོ་རང་ ལ་",191,192,FALSE,"i",NA,FALSE,"E",TRUE,FALSE,FALSE,3,TRUE,FALSE
