id,name,unitLastWord,unitSeqLast,word,docTokenSeqFirst,docTokenSeqLast,local,identifiable,topic,interrog,argType,animate,self,addressee,length,pronom,haveBridges,remarks
BHxQ6dgGiK3,current location,ལྟ་ དེ་རིང་ <0> འདི ར་,1,འདི ར་,4,5,TRUE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,2,TRUE,FALSE,NA
bY7jF9uD0uk,lhan rgyas,ལྷན་རྒྱས་ གང་ག་ ཆིབས་བསྒྱུར་ གནང་ རོགས་ ཞེས་ ཞུས་ བྱས་ ན འི་,2,ལྷན་རྒྱས་ གང་ག་,6,7,TRUE,i,FALSE,FALSE,S,TRUE,FALSE,TRUE,4,FALSE,FALSE,NA
T17lzIcoMlt,gros bsdur gnang ya yi nang don,གཙོ་བོ་ འདི་དག་ གྲོས་བསྡུར་ གནང་ ཡ་ གི་ ནང་དོན་ ག་རེ་ རེད་ ཟེར་ ན་,3,འདི་དག་ གྲོས་བསྡུར་ གནང་ ཡ་ གི་ ནང་དོན་,17,22,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,9,FALSE,FALSE,NA
RBvNsjXqzfH,gros bsdur gnang ya yi nang don,གཙོ་བོ་ འདི་དག་ གྲོས་བསྡུར་ གནང་ ཡ་ གི་ ནང་དོན་ ག་རེ་ རེད་ ཟེར་ ན་,3,ག་རེ་,23,23,FALSE,n,FALSE,TRUE,PRED,FALSE,FALSE,FALSE,2,TRUE,FALSE,NA
4PrVC43leXG,rgan dbang 'dus lags (ka),ད་ལྟ་ རྒན་ དབང་འདུས་ ལགས་,25,རྒན་ དབང་འདུས་ ལགས་,95,97,TRUE,i,FALSE,FALSE,A,TRUE,FALSE,FALSE,3,FALSE,FALSE,NA
AOF6EM3fYHY,'khrab gzhung,འཁྲབ་གཞུང་ འདི་ ངོ་སྤྲོད་ གནང་ གི་ རེད །,27,འཁྲབ་གཞུང་ འདི་,99,100,FALSE,i,FALSE,FALSE,P,FALSE,FALSE,FALSE,3,FALSE,TRUE,NA
cOmDraoDUQA,lhan rgyas,ཚང་མ ས་,29,ཚང་མ ས་,109,110,FALSE,i,FALSE,FALSE,A,TRUE,FALSE,TRUE,3,FALSE,TRUE,NA
cbOj0XgAXY7,'khrab gzhung,དེ འི་ སྒང་ ལ་ དགོངས་པ་ བཞེས་ བྱས །,30,དེ འི་ སྒང་ ལ་,111,114,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,4,TRUE,TRUE,NA
0tchwKyx0CC,dgongs pa,དེ འི་ སྒང་ ལ་ དགོངས་པ་ བཞེས་ བྱས །,30,དགོངས་པ་,115,115,FALSE,i,FALSE,FALSE,P,FALSE,FALSE,FALSE,2,FALSE,FALSE,NA
CYZFtW5yyQE,'khrab gzhung,<0> དེ འི་ སྒང་ ལ་ སྐྱོན་ཆ་ འདྲ་པོ་ ག་རེ་ འདུག,31,དེ འི་ སྒང་ ལ་,120,123,FALSE,i,FALSE,FALSE,COPLOC,FALSE,FALSE,FALSE,4,TRUE,TRUE,NA
FOoKz5uehSx,skyon cha,<0> དེ འི་ སྒང་ ལ་ སྐྱོན་ཆ་ འདྲ་པོ་ ག་རེ་ འདུག,31,སྐྱོན་ཆ་ འདྲ་པོ་ ག་རེ་,124,126,FALSE,n,FALSE,TRUE,EXIST,FALSE,FALSE,FALSE,6,FALSE,FALSE,NA
