"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges","remarks"
"zZJvAI1N4Gj","sbrum ma","ལྟ་ ཁྱེད་ རང་ ཟླ་བ་ ག་ཚོད་ ལ་ སླེབས་པ་ རེད །",2,"ཁྱེད་ རང་",4,5,TRUE,"i",TRUE,FALSE,"S",TRUE,FALSE,TRUE,2,TRUE,FALSE,NA
"M21yk88WqZU","months of pregnancy","ལྟ་ ཁྱེད་ རང་ ཟླ་བ་ ག་ཚོད་ ལ་ སླེབས་པ་ རེད །",2,"ཟླ་བ་ ག་ཚོད་ ལ་",6,8,FALSE,"n",FALSE,TRUE,"E",FALSE,FALSE,FALSE,5,FALSE,FALSE,NA
"6vMnEHVgSgx","sayers","ཁོང་ ཚོ ས་",12,"ཁོང་ ཚོ ས་",54,56,FALSE,"i",FALSE,FALSE,"A",TRUE,FALSE,FALSE,3,TRUE,FALSE,NA
"WTXmp9ZgtCD","na tsha tsha po yod red","ན་ཚ་ ཚ་པོ་ ཞེ་པོ་ ཞིག་ ཡོད་ རེད་ ཟེར །",13,"ན་ཚ་ ཚ་པོ་ ཞེ་པོ་ ཞིག་ ཡོད་ རེད་",57,62,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,9,FALSE,FALSE,NA
"zbq4geYuLWz","sbrum ma'i phru gu","ཁྱེད་ ཀྱི་ ཕྲུ་གུ་ བུ་ མིན་ འགྲོ་",21,"ཁྱེད་ ཀྱི་ ཕྲུ་གུ་",88,90,FALSE,"i",TRUE,FALSE,"COPS",TRUE,FALSE,FALSE,4,FALSE,FALSE,NA
"jYVYr3B9es5","bu","ཁྱེད་ ཀྱི་ ཕྲུ་གུ་ བུ་ མིན་ འགྲོ་",21,"བུ་",91,91,FALSE,"n",FALSE,FALSE,"PRED",TRUE,FALSE,FALSE,1,FALSE,FALSE,NA
"fPTVi6q3KXo","sbrum ma","ཁྱེད་ རང་ གིས་ ད་དུང་",27,"ཁྱེད་ རང་ གིས་",112,114,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,TRUE,3,TRUE,TRUE,NA
"m1TNbsqC2XywE","si pan za ya","སི་པན་ ཟ་ ཡ་ དགའ་པོ་ ཡོད་ ན་",29,"སི་པན་ ཟ སི་པན་ ཟ་ ཡ་",116,120,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,7,FALSE,FALSE,NA
"Ru1gqpaoC1Z","sbrum ma'i phru gu","ལྟ་ དེ་འདྲས་སེ་ ལྟ་ དུས་ ཙམ་པ་ ཕྲུ་གུ་ བུ་ འདྲ་པོ་ ཞིག་ འདུག",41,"ཕྲུ་གུ་",183,183,FALSE,"i",TRUE,FALSE,"COPS",TRUE,FALSE,FALSE,2,FALSE,FALSE,NA
"NPzwkakp111","bu (general)","ལྟ་ དེ་འདྲས་སེ་ ལྟ་ དུས་ ཙམ་པ་ ཕྲུ་གུ་ བུ་ འདྲ་པོ་ ཞིག་ འདུག",41,"བུ་ འདྲ་པོ་ ཞིག་",184,186,FALSE,"n",FALSE,FALSE,"PRED",TRUE,FALSE,FALSE,4,FALSE,FALSE,NA
"RTn4Qa8Ej9C","sman khang gi mi","སྨན་ཁང་ ནས་ ཡང་ ཁ་ཤས་ ཀྱིས་ འདི་ ཟེར་ གྱི་ འདུག་ ག",60,"ཁ་ཤས་ ཀྱིས་",277,278,FALSE,"n",FALSE,FALSE,"A",TRUE,FALSE,FALSE,3,FALSE,FALSE,NA
"TWsj0FPPOCM","phru gu skyes tshar nas zla ba drug tsam kha lag ster chog gi ma red","སྨན་ཁང་ ནས་ ཡང་ ཁ་ཤས་ ཀྱིས་ འདི་ ཟེར་ གྱི་ འདུག་ ག",60,"འདི་",279,279,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,1,TRUE,FALSE,NA
"QXgziaE0tLv","'o ma","འོ་མ་ མ་གཞི་ ཡ་ ཁ་ལག་ སྟེར་ ཆོག་ གི་ མ་ རེད་ ཟེར་ གྱི་ འདུག་ ག",65,"འོ་མ་ མ་གཞི་ ཡ་",295,297,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,5,FALSE,FALSE,NA
"WXuKTPRwM5V","kha lag","འོ་མ་ མ་གཞི་ ཡ་ ཁ་ལག་ སྟེར་ ཆོག་ གི་ མ་ རེད་ ཟེར་ གྱི་ འདུག་ ག",65,"ཁ་ལག་",298,298,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE,FALSE,NA
"vliaujynFhL","nga tsho'i a ma lags (general)","ཡང་ ང་ ཚོ འི་ ཨ་མ་ ལགས་ ཁོང་ ཚོ ས་ ཡང་",66,"ང་ ཚོ འི་ ཨ་མ་ ལགས་ ཁོང་ ཚོ ས་ ཡང་",309,317,FALSE,"i",FALSE,FALSE,"A",TRUE,FALSE,FALSE,10,FALSE,FALSE,NA
"rYs8B2RW71Z","'jam thur ster na 'grig","<0> འཇམ་ཐུར་ སྟེར་ ན་ འགྲིག་ གི་ རེད་ ཟེར་ གྱི་ འདུག་ ག",67,"<0> འཇམ་ཐུར་ སྟེར་ ན་ འགྲིག་ གི་ རེད་",318,324,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,8,FALSE,FALSE,NA
