"id","doc","chain","sourceLink","token","gapWords","roleType","charCount","tokenCount","gapUnits","referential","lit","Col.0","chunkLayer","wordWylie","word","tokenOrderFirst","tokenOrderLast","docTokenSeqFirst","docTokenSeqLast","chainCreateSeq","name","chainSize","entityType","trailLayer","layer","unitSeqFirst","unitSeqLast","treeEntry","TextNoTsheg","TextNoCase","case","yang","possessor","person","reflexive","pronType","definite","identifiable","semrole","lexicality","unitLastWord","treeParent","verbID","verbWord","lemma","suffix","force","evidMod","TA","subord","verbTokenSeqFirst","combinedChunk","noPrevMentions","noPrevZero","noNextMentions","noNextZero","allPrevMentions","allPrevZero","allNextMentions","allNextZero","noPrevMentionsFar","noPrevZeroFar","noNextMentionsFar","noNextZeroFar","bridge","haveBridges","local","argOrder","noArgs","argBack","justFirst","justLast","interrog","argType","topic","animate","self","addressee","length","pronom","containsVerb"
"2DE10D0EB9CF1","three-flirt-2501","191DA05D728AB",NA,"75C526ED6340","N/A","S",38,6,"N/A","R",NA,NA,NA,"nga  tsho 'i  slob grogs  rnying pa  de gyad da","ང་ ཚོ འི་ སློབ་གྲོགས་ རྙིང་པ་ དེ་གྱད་ད",1,6,79,84,11,"phur sgron dang zla ba'i slob grogs",2,"person",NA,"refexpr",24,24,"2E9EB06A19E4A","ང་ ཚོ འི་ སློབ་གྲོགས་ རྙིང་པ་ དེ་གྱད་ད","ང་ཚོའི་སློབ་གྲོགས་རྙིང་པ་དེ་གྱད་ད",NA,NA,FALSE,3,"N","pers","d","i","agent","p","ང་ ཚོ འི་ སློབ་གྲོགས་ རྙིང་པ་ དེ་གྱད་ད","766C9862C4DC","2429437675322","འགྲོ་ མཁན་  རེད་ ཤག","འགྲོ","མཁན་  རེད་ ཤག","Ind","Sens","Perf",NA,90,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,FALSE,FALSE,1,2,2,0,0,FALSE,"S",NA,TRUE,FALSE,FALSE,9,TRUE,FALSE
"2A29DB25F9AD1","three-flirt-2501","305D32470FCCB",NA,"1306867643829","N/A","OBL",7,2,"N/A","R",NA,NA,NA,"nang ma ra","ནང་མ ར་",3,4,88,89,12,"nang ma",3,"location",NA,"refexpr",25,25,"2D66E32E00050","ནང་མ ར","ནང་མ","ར",NA,FALSE,3,"N","nonPron","na","i","location/goal","l","འགང་ག་  ནང་མ ར་ འགྲོ་ མཁན་  རེད་ ཤག","766C9862C4DC","2429437675322","འགྲོ་ མཁན་  རེད་ ཤག","འགྲོ","མཁན་  རེད་ ཤག","Ind","Sens","Perf",NA,90,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,2,2,1,0,0,FALSE,"E",NA,FALSE,FALSE,FALSE,3,FALSE,FALSE
"183626769FE84","three-flirt-2501","10D53978FDD25","2E7B489085DA1","353E1AAB91FDA","10","COPS",2,1,"2","R",NA,96,NA,"nga","ང་",1,1,105,105,1,"phur sgron",14,"person",NA,"refexpr",28,28,"B5B579441813","ང","ང",NA,NA,FALSE,1,"N","pers","d","i","theme","p","ང་ དོ་དགོང་ དགོང་དག་ ལས་ཀ་ ཡོད །","254972596ADC2","2F3047508446F","ཡོད","ཡོད",NA,"Ind","Ego","Neutral",NA,109,NA,2,1,1,1,5,3,1,3,3,2,0,2,0,FALSE,TRUE,1,2,2,0,0,FALSE,"COPS",TRUE,TRUE,TRUE,FALSE,1,TRUE,FALSE
"2A8F40EF9EC20","three-flirt-2501","12BD753A4F1E0",NA,"FEB041CD4006","N/A","EXIST",5,1,"N/A","R",NA,99,NA,"las ka","ལས་ཀ་",4,4,108,108,15,"las ka",1,"abstract",NA,"refexpr",28,28,"1709090A856AA","ལས་ཀ","ལས་ཀ",NA,NA,FALSE,3,"N","nonPron","na","i","none","l","ང་ དོ་དགོང་ དགོང་དག་ ལས་ཀ་ ཡོད །","254972596ADC2","2F3047508446F","ཡོད","ཡོད",NA,"Ind","Ego","Neutral",NA,109,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,2,2,1,0,0,FALSE,"EXIST",NA,FALSE,FALSE,FALSE,2,FALSE,FALSE
"1F754F2167565","three-flirt-2501","10D53978FDD25","1B6F9DBF89ACC","353D32DA9FDE1","31","A",2,1,"5","R",NA,138,NA,"nga","ང་",1,1,155,155,1,"phur sgron",14,"person",NA,"refexpr",38,38,"10A7389AE7AA4","ང","ང",NA,NA,FALSE,1,"N","pers","d","i","agent","p","ང་ དགའ་རོགས་ འགྲིག་ མིན་","4A327F6D5391","319B2CD776942","འགྲིག་ མིན་","འགྲིག","མིན","Ind","None","Neutral",NA,157,NA,1,1,0,1,6,4,0,4,5,3,0,3,0,FALSE,TRUE,1,2,2,1,0,FALSE,"A",NA,TRUE,TRUE,FALSE,1,TRUE,FALSE
"1CC4E9095B3EA","three-flirt-2501","1DBF858CB21D9","35903C795D41E","F479A86C80BF","3","P",9,1,"1","R",NA,139,NA,"dga' rogs","དགའ་རོགས་",2,2,156,156,19,"zla sgron gyi dga' rogs",6,"person",NA,"refexpr",38,38,"3267AF08DCC60","དགའ་རོགས","དགའ་རོགས",NA,NA,FALSE,3,"N","nonPron","na","i","theme","l","ང་ དགའ་རོགས་ འགྲིག་ མིན་","4A327F6D5391","319B2CD776942","འགྲིག་ མིན་","འགྲིག","མིན","Ind","None","Neutral",NA,157,NA,4,1,0,1,4,1,0,1,0,0,0,0,0,FALSE,FALSE,2,2,1,0,0,FALSE,"P",NA,TRUE,FALSE,FALSE,2,FALSE,FALSE
"26EC03F053BBF","three-flirt-2501","16B537FEE9FFC","370F5C72CD8F0","22DCCDBE8B1BA","104","COPS",6,2,"20","R",NA,NA,NA,"nga  tsho","ང་ ཚོ་",1,2,183,184,13,"phur sgron dang zla ba",5,"person",NA,"refexpr",44,44,"236BDDA773E83","ང་ ཚོ","ང་ཚོ",NA,NA,FALSE,1,"N","pers","d","i","theme","p","ང་ ཚོ་ སྔོན་མ་  སློབ་གྲོགས་ རྙིང་པ་ རེད་པ །","12A80B0DD3BDA","32358E9902733","རེད་པ","རེད","པ","Ind","Ind","Neutral","Nom?",189,NA,0,0,1,0,1,0,1,0,1,0,0,0,0,FALSE,TRUE,1,2,2,0,0,FALSE,"COPS",TRUE,TRUE,TRUE,FALSE,2,TRUE,FALSE
"29FE220916B10","three-flirt-2501","16B537FEE9FFC","38297A873040","122AF3C47372B","4","PRED",19,2,"0","NR",NA,NA,NA,"slob grogs  rnying pa","སློབ་གྲོགས་ རྙིང་པ་",5,6,187,188,13,"phur sgron dang zla ba",5,"person",NA,"refexpr",44,44,"21CE61BDEC811","སློབ་གྲོགས་ རྙིང་པ","སློབ་གྲོགས་རྙིང་པ",NA,NA,FALSE,3,"N","nonPron","na","i","none","l","ང་ ཚོ་ སྔོན་མ་  སློབ་གྲོགས་ རྙིང་པ་ རེད་པ །","12A80B0DD3BDA","32358E9902733","རེད་པ","རེད","པ","Ind","Ind","Neutral","Nom?",189,NA,0,0,1,0,1,0,1,0,1,0,0,0,0,FALSE,FALSE,2,2,1,0,0,FALSE,"PRED",FALSE,TRUE,FALSE,FALSE,4,FALSE,FALSE
"34ADCC5C21F4A","three-flirt-2501","1AAFAB8F7CC73","3CA3A1829C4F","3748B4787A07B","42","A",4,2,"9","R",NA,NA,NA,NA,"ང ས་",1,2,202,203,17,"zla ba",5,"person",NA,"refexpr",48,48,"1FED5F32E5239","ང ས","ང","ས",NA,FALSE,1,"N","pers","d","i","agent","p","ང ས་ <0> ཕར་ ཙམ་  བསྐྱལ་ དགོས །","2D2CDCB6B7B90","336F41F9834DB","བསྐྱལ་ དགོས","བསྐྱལ","དགོས","Ind","Ego","Neutral",NA,208,NA,1,0,0,0,2,2,0,2,1,2,0,2,0,FALSE,TRUE,1,2,2,0,0,FALSE,"A",NA,TRUE,TRUE,FALSE,1,TRUE,FALSE
"37D69C7FC68D8","three-flirt-2501","10FC063774E38",NA,"2FDBCF713865D","N/A","OBL",7,2,"N/A","R",NA,NA,NA,"phar  tsam","ཕར་ ཙམ་",4,5,205,206,24,"phar tsam",1,"location",NA,"refexpr",48,48,"1B84C69F57A75","ཕར་ ཙམ","ཕར་ཙམ",NA,NA,FALSE,3,"N","nonPron","na","i","location/goal","l","ང ས་ <0> ཕར་ ཙམ་  བསྐྱལ་ དགོས །","2D2CDCB6B7B90","336F41F9834DB","བསྐྱལ་ དགོས","བསྐྱལ","དགོས","Ind","Ego","Neutral",NA,208,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,2,2,1,0,0,FALSE,"E",NA,FALSE,FALSE,FALSE,2,FALSE,FALSE
