"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges"
"Bf138ofV85Z","zla sgron gyi a ma lags","ཁྱེད་རང་ གི་ ཨ་མ་ ལགས་ ཀྱིས་",9,"ཁྱེད་རང་ གི་ ཨ་མ་ ལགས་ ཀྱིས་",28,32,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,FALSE,7,FALSE,FALSE
"04deSkHskdq","impressed with you","ག་རེ་ གསུང་ གི་ འདུག",10,"ག་རེ་",33,33,FALSE,"n",FALSE,TRUE,"P",FALSE,FALSE,FALSE,2,TRUE,FALSE
"pVav2rBJTEa","zla sgron gyi a ma lags","ང འི་ ཨ་མ་ ལགས་",11,"ང འི་ ཨ་མ་ ལགས་",37,40,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,FALSE,5,FALSE,FALSE
"GZgoSBnBQ2N","zla ba","ཁྱེད་རང་ ལ་ མགུ་པོ་ ཞེ་པོ་ བྱུང་ བཞག",12,"ཁྱེད་རང་ ལ་",41,42,TRUE,"i",FALSE,FALSE,"P",TRUE,FALSE,TRUE,3,TRUE,FALSE
"j6Hx5apsvUV","zla sgron gyi a ma lags","ང་ ཁྱེད་རང་ ལ་ ཅིག་ ཞུ་ ཡ་",17,"ང་",59,59,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,1,TRUE,FALSE
"Pl1VdPAyAgw","zla ba","ང་ ཁྱེད་རང་ ལ་ ཅིག་ ཞུ་ ཡ་",17,"ཁྱེད་རང་ ལ་",60,61,TRUE,"i",FALSE,FALSE,"R",TRUE,FALSE,TRUE,3,TRUE,FALSE
"zKxhZCVjMu2","zhu ya","ང་ ཁྱེད་རང་ ལ་ ཅིག་ ཞུ་ ཡ་",17,"ཅིག་",62,62,FALSE,"n",FALSE,FALSE,"T",FALSE,FALSE,FALSE,1,FALSE,FALSE
"il5rAmpBcnc","zla sgron gyi las khungs","ང་ ཚོ འི་ ལས་ཁུངས་ ནས་",20,"ང་ ཚོ འི་ ལས་ཁུངས་ ནས་",71,75,FALSE,"i",FALSE,FALSE,"A",FALSE,FALSE,FALSE,6,FALSE,FALSE
"DCvGpn3NVqQ","zla sgron gyi a ma lags","ང་ རྒྱ་ནག་ ལ་ <0> སློབ་སྦྱོང་ བྱེད་ གར་ རྒྱུགས་ ཟེར་ གྱིས །",21,"ང་",76,76,TRUE,"i",TRUE,FALSE,"S",TRUE,TRUE,FALSE,1,TRUE,FALSE
"jvneRvsVzsx","nga rgya nag la 'gro","ང་ རྒྱ་ནག་ ལ་ <0> སློབ་སྦྱོང་ བྱེད་ གར་ རྒྱུགས་ ཟེར་ གྱིས །",21,"ང་ རྒྱ་ནག་ ལ་ <0> སློབ་སྦྱོང་ བྱེད་ གར་ རྒྱུགས་",76,83,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,9,FALSE,FALSE
