id,name,unitLastWord,unitSeqLast,word,docTokenSeqFirst,docTokenSeqLast,local,identifiable,topic,interrog,argType,animate,self,addressee,length,pronom,haveBridges
FUOMlGnfRgk,khong tsho (?),ཁོང་ ཚོ ས་ མཁྲིས་པ་ ཟེར་ ཡ་ ཅིག་ རེད་ ཟེར་ གྱིས་,11,ཁོང་ ཚོ ས་,53,55,FALSE,i,FALSE,FALSE,A,TRUE,FALSE,FALSE,3,TRUE,FALSE
iLMrZCaNdp7,mkhris pa,ཁོང་ ཚོ ས་ མཁྲིས་པ་ ཟེར་ ཡ་ ཅིག་ རེད་ ཟེར་ གྱིས་,11,མཁྲིས་པ་,56,56,FALSE,i,FALSE,FALSE,COPS,FALSE,FALSE,FALSE,2,FALSE,FALSE
qiMNaKpf4B1,mkhris pa zer ya gcig red,ཁོང་ ཚོ ས་ མཁྲིས་པ་ ཟེར་ ཡ་ ཅིག་ རེད་ ཟེར་ གྱིས་,11,མཁྲིས་པ་ ཟེར་ ཡ་ ཅིག་ རེད་,56,60,FALSE,i,FALSE,FALSE,P,FALSE,FALSE,FALSE,6,FALSE,FALSE
dHWPh1Wb94S,zer ya,ཁོང་ ཚོ ས་ མཁྲིས་པ་ ཟེར་ ཡ་ ཅིག་ རེད་ ཟེར་ གྱིས་,11,ཟེར་ ཡ་ ཅིག་,57,59,FALSE,n,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,3,FALSE,FALSE
2dSVaq3Lxhz,the illness,ད་ དེ་ ག་རེ་ རེད་  ཟེར་ ན་,31,དེ་,150,150,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,1,TRUE,FALSE
JspuJyOYNbO,sman rtsis khang la 'di gcig red,ད་ དེ་ ག་རེ་ རེད་  ཟེར་ ན་,31,ག་རེ་,151,151,FALSE,n,FALSE,TRUE,PRED,FALSE,FALSE,FALSE,2,TRUE,FALSE
CKox6TdIvNW,mkhris pa'i nang logs la,མཁྲིས་པ འི་ ནང་ལོགས་ ལ་ རྡོ་ ཡོད་པ་ ཅིག་ ཡོད་ རེད་ པ །,58,མཁྲིས་པ འི་ ནང་ལོགས་ ལ་,276,279,FALSE,i,FALSE,FALSE,COPLOC,FALSE,FALSE,FALSE,6,FALSE,FALSE
89jnsca1AgE,rdo,མཁྲིས་པ འི་ ནང་ལོགས་ ལ་ རྡོ་ ཡོད་པ་ ཅིག་ ཡོད་ རེད་ པ །,58,རྡོ་,280,280,FALSE,n,FALSE,FALSE,EXIST,FALSE,FALSE,FALSE,1,FALSE,FALSE
nNQGJ9armTk,rgan lags,ད་ ང ས་ དེ འི་ མིང་ དེ་ བཤད་ ཤེས་ མ་ སོང་ །,64,ང ས་,313,314,TRUE,i,FALSE,FALSE,A,TRUE,TRUE,FALSE,2,TRUE,FALSE
YGCe3agrpW3,rgya sman gyi ming,ད་ ང ས་ དེ འི་ མིང་ དེ་ བཤད་ ཤེས་ མ་ སོང་ །,64,དེ འི་ མིང་ དེ་,315,318,FALSE,i,FALSE,FALSE,P,FALSE,FALSE,FALSE,4,FALSE,FALSE
