"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges"
"6yyvnHGABeZ","phur sgron dang zla sgron","ང་ གཉིས་ གཉིས་ ཇ་ཁང་ ནང་ ལ་ <0> ཇ་ ཞིག་ འཐུང་ གར་ འགྲོ་ གས །",1,"ང་ གཉིས་ གཉིས་",1,3,TRUE,"i",FALSE,FALSE,"S",TRUE,TRUE,FALSE,3,TRUE,FALSE
"CXaimuAGhrf","ja khang","ང་ གཉིས་ གཉིས་ ཇ་ཁང་ ནང་ ལ་ <0> ཇ་ ཞིག་ འཐུང་ གར་ འགྲོ་ གས །",1,"ཇ་ཁང་ ནང་ ལ་",4,6,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,4,FALSE,FALSE
"tKB1GeBcQfy","zla sgron","ང་ ཕྱུ་པ་ ཞིག་ ཉོ་ དགོས་ ཀྱི་ ཡོད །",3,"ང་",21,21,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,1,TRUE,TRUE
"C4DNC9J9D0n","phyu pa","ང་ ཕྱུ་པ་ ཞིག་ ཉོ་ དགོས་ ཀྱི་ ཡོད །",3,"ཕྱུ་པ་ ཞིག་",22,23,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,3,FALSE,FALSE
"lx9gg1p3NbF","zla sgron","ང་ ཕྱུ་པ་ ཉོ་རོགས་ བྱེད་ ཨ །",4,"ང་",29,29,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,1,TRUE,TRUE
"XTO4zVIXEGy","phyu pa","ང་ ཕྱུ་པ་ ཉོ་རོགས་ བྱེད་ ཨ །",4,"ཕྱུ་པ་",30,30,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE,FALSE
"guhec9xJEe5","phur sgron","ང་ ཡང་ བཙུགས་ཕྲུག་ གཅིག་ ཉོ་ དགོས་ ཡོད །",8,"ང་ ཡང་",45,46,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE,TRUE
"7rw9OcynvDk","btsugs phyug (to buy)","ང་ ཡང་ བཙུགས་ཕྲུག་ གཅིག་ ཉོ་ དགོས་ ཡོད །",8,"བཙུགས་ཕྲུག་ གཅིག་",47,48,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,3,FALSE,FALSE
"4FkcAZiTfIj","phur sgron","ཨ་ལེ་ རང་ བཙུགས་ཕྲུག་ ལྟོས །",19,"རང་",98,98,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,TRUE,1,TRUE,FALSE
"6uE6YnLieov","btsugs phyug (to buy)","ཨ་ལེ་ རང་ བཙུགས་ཕྲུག་ ལྟོས །",19,"བཙུགས་ཕྲུག་",99,99,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE,FALSE
"FPQXsu65ieR","phur sgron","རང་ བཙུགས་ཕྲུག་ བལྟས་ ཚར་ སོང་ ན་ <0> ཕྱུ་པ་ ཞིག་ <0> ཉོ་བ ར་ འགྲོ་ གི་ ཡིན །",20,"རང་",102,102,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,TRUE,1,TRUE,FALSE
"GUdKhyuf7Ue","btsugs phyug (to buy)","རང་ བཙུགས་ཕྲུག་ བལྟས་ ཚར་ སོང་ ན་ <0> ཕྱུ་པ་ ཞིག་ <0> ཉོ་བ ར་ འགྲོ་ གི་ ཡིན །",20,"བཙུགས་ཕྲུག་",103,103,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE,FALSE
"oFL8toG2dfq","'di par","བཙུགས་ཕྲུག་ ཉོ་ ས་ འདི་པ ར་ གཅིག་ ཡོད་ རེད །",39,"འདི་པ ར་",198,199,TRUE,"n",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,2,TRUE,FALSE
"CJCXiTOFkDZ","btsugs phrug nyo sa (main)","བཙུགས་ཕྲུག་ ཉོ་ ས་ འདི་པ ར་ གཅིག་ ཡོད་ རེད །",39,"གཅིག་",200,200,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,1,FALSE,FALSE
"S2nEagRHmMq","zla sgron","<0> ཤོག་ དང་ ང ས་ རང་ འཁྲིད་ ཀོ །",40,"ང ས་",207,208,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE,TRUE
"2NNBroX5yj3","phur sgron","<0> ཤོག་ དང་ ང ས་ རང་ འཁྲིད་ ཀོ །",40,"རང་",209,209,TRUE,"i",FALSE,FALSE,"P",TRUE,FALSE,TRUE,1,TRUE,TRUE
"jQ5ELfjQomP","phur sgron","ཨ་ནི་ ང་ བཙུགས་ཕྲུག་ འཇམ་ལྡས་ ལྟ་ ཨེ་འདྲས་ ལྟ་ དགོས་ ཀྱི་ ཡོད །",47,"ང་",235,235,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,1,TRUE,FALSE
"3JcDbRkXTVE","btsugs phyug (to buy)","ཨ་ནི་ ང་ བཙུགས་ཕྲུག་ འཇམ་ལྡས་ ལྟ་ ཨེ་འདྲས་ ལྟ་ དགོས་ ཀྱི་ ཡོད །",47,"བཙུགས་ཕྲུག་ འཇམ་ལྡས་ ལྟ་ ཨེ་འདྲས་",236,239,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,7,FALSE,FALSE
"Q44edH1eR5Y","btsugs phrug (specific ones in main shop)","བཙུགས་ཕྲུག་ འདི ར <0> །",50,"བཙུགས་ཕྲུག་",250,250,TRUE,"i",TRUE,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE,FALSE
"J7QCH6oLCLE","btsugs phrug nyo sa (main)","བཙུགས་ཕྲུག་ འདི ར <0> །",50,"འདི ར",251,252,TRUE,"i",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,1,TRUE,FALSE
"YZ43dXZO3a8","phur sgron","རང་ གང་ རེད ། <0> བཙུགས་ཕྲུག་ གྱོན་ གྱི་ ཡོད་ པས །",54,"རང་",265,265,TRUE,"i",TRUE,FALSE,"COPS",TRUE,FALSE,TRUE,1,TRUE,FALSE
