id,name,unitLastWord,unitSeqLast,word,docTokenSeqFirst,docTokenSeqLast,local,identifiable,topic,interrog,argType,animate,self,addressee,length,pronom,haveBridges
K9HSZDaT8j5,lha sa,ལྷ་ས་ ནས་,5,ལྷ་ས་ ནས་,17,18,FALSE,i,FALSE,FALSE,A,FALSE,FALSE,FALSE,3,FALSE,FALSE
JGeC9fpqLJ8,pe cing,པེ་ཅིང་ བར་ དུ་ གནམ་གྲུ འི་ ནང་ ག་ཚོད་ འགོར་ གྱི་ རེད །,6,པེ་ཅིང་ བར་ དུ་,19,21,FALSE,i,FALSE,FALSE,A,FALSE,FALSE,FALSE,4,FALSE,FALSE
1rtWRzo42wl,number of hours in plane from lhasa to chengdu (3 hrs),པེ་ཅིང་ བར་ དུ་ གནམ་གྲུ འི་ ནང་ ག་ཚོད་ འགོར་ གྱི་ རེད །,6,ག་ཚོད་,25,25,FALSE,n,FALSE,TRUE,P,FALSE,FALSE,FALSE,2,TRUE,FALSE
qXl7dL5WmWp,lha sa,ལྷ་ས་ ནས་,9,ལྷ་ས་ ནས་,35,36,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,3,FALSE,FALSE
QsUv4eJj6Ez,grang tu,གྲང་ཏུ་ བར་ དུ་,10,གྲང་ཏུ་ བར་ དུ་,37,39,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,4,FALSE,FALSE
9TEPGAdzCMU,lhasa to chengdu travel time (2 hrs),<0> ཆུ་ཚོད་ གཉིས་ བྱས །,11,ཆུ་ཚོད་ གཉིས་,41,42,FALSE,n,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,3,FALSE,FALSE
xI3nyLzz39l,lha sa,ལྷ་ས་ ནས་,18,ལྷ་ས་ ནས་,82,83,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,3,FALSE,FALSE
SIkCZE6PjJJ,grang tu,གྲང་ཏུ་,19,གྲང་ཏུ་,84,84,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,2,FALSE,FALSE
PuNLPiArX1l,pe cing,པེ་ཅིང་ བར་ དུ་,21,པེ་ཅིང་ བར་ དུ་,87,89,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,4,FALSE,FALSE
4slQkHfZYE9Fh,number of hours in plane from lhasa to chengdu (3 hrs),ཨ་ནི་ གསུམ་ ཙམ་ ཅིག་ མིན་འགྲོ །,23,ཆུ་ཚོད་ གསུམ ། ཨ་ནི་ གསུམ་ ཙམ་ ཅིག་,91,97,FALSE,n,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,9,FALSE,FALSE
