id,name,unitLastWord,unitSeqLast,word,docTokenSeqFirst,docTokenSeqLast,local,identifiable,topic,interrog,argType,animate,self,addressee,length,pronom,haveBridges,remarks
uBdSHtFOFUq,bkra shis nor bu,ཁྱོད་རང་ ང འི་ དངུལ་ འདི་ གས་ འཁྱེར །,1,ཁྱོད་རང་,1,1,TRUE,i,FALSE,FALSE,A,TRUE,FALSE,TRUE,2,TRUE,FALSE,
dygaiP2bTGF,dngul,ཁྱོད་རང་ ང འི་ དངུལ་ འདི་ གས་ འཁྱེར །,1,ང འི་ དངུལ་ འདི་ གས་,2,6,FALSE,i,FALSE,FALSE,P,FALSE,FALSE,FALSE,5,FALSE,FALSE,
1O5egNUTbaX,bskal bzang phun tshogs,ང ར་ ཡ་ ལས་ཀ་ ན་ ཅིག་ བསྒྱུར་ གོ་ ཟེར །,2,ང ར་ ཡ་,9,11,TRUE,i,FALSE,FALSE,R,TRUE,TRUE,FALSE,3,TRUE,FALSE,
TYzqb07RSDB,las ka,ང ར་ ཡ་ ལས་ཀ་ ན་ ཅིག་ བསྒྱུར་ གོ་ ཟེར །,2,ལས་ཀ་ ན་ ཅིག་,12,14,FALSE,i,FALSE,FALSE,T,FALSE,FALSE,FALSE,4,FALSE,FALSE,
qOkIo3iyech,bkra shis nor bu,ང ར་ ཐབས་ཤེས་ ག་རེ་ ཡོད་ རེད །,5,ང ར་,37,38,TRUE,i,TRUE,FALSE,COPLOC,TRUE,TRUE,FALSE,2,TRUE,FALSE,
m07NxNL52TL,thabs shes,ང ར་ ཐབས་ཤེས་ ག་རེ་ ཡོད་ རེད །,5,ཐབས་ཤེས་ ག་རེ་,39,40,FALSE,n,FALSE,TRUE,EXIST,FALSE,FALSE,FALSE,4,FALSE,FALSE,
MQbC8m6rWnc,bkra shis nor bu,ཁྱོད་རང་ ང ར་ ཡ་ ཉི་མ་ ཤ་སྟག་ བསྟན་ བྱུང་ གས །,7,ཁྱོད་རང་,51,51,TRUE,i,FALSE,FALSE,A,TRUE,FALSE,TRUE,2,TRUE,FALSE,
sfjuveXVrBz,bskal bzang phun tshogs,ཁྱོད་རང་ ང ར་ ཡ་ ཉི་མ་ ཤ་སྟག་ བསྟན་ བྱུང་ གས །,7,ང ར་ ཡ་,52,54,TRUE,i,FALSE,FALSE,R,TRUE,TRUE,FALSE,3,TRUE,FALSE,
lXOLclAawBI,nyi ma,ཁྱོད་རང་ ང ར་ ཡ་ ཉི་མ་ ཤ་སྟག་ བསྟན་ བྱུང་ གས །,7,ཉི་མ་,55,55,FALSE,i,FALSE,FALSE,T,FALSE,FALSE,FALSE,2,FALSE,FALSE,
kirrFc0ogoP,bkra shis nor bu,ཨ་ནི་ ང་ ག་རེ་ བྱེད་ དགོས་ ཀྱི་ རེད །,13,ང་,93,93,TRUE,i,TRUE,FALSE,A,TRUE,TRUE,FALSE,1,TRUE,FALSE,
29MXStMeX9m,byed dgos ,ཨ་ནི་ ང་ ག་རེ་ བྱེད་ དགོས་ ཀྱི་ རེད །,13,ག་རེ་,94,94,FALSE,n,FALSE,TRUE,P,FALSE,FALSE,FALSE,2,TRUE,FALSE,
lyGuvh5eyXV,bkra shis nor bu,ཁྱོད་རང་ ང ར་ ལབ་ དང་ །,15,ཁྱོད་རང་,106,106,TRUE,i,FALSE,FALSE,A,TRUE,FALSE,TRUE,2,TRUE,FALSE,
w84UIrcZH06,bkra shis nor bu,ཁྱོད་རང་ ང ར་ ལབ་ དང་ །,15,ང ར་,107,108,TRUE,i,FALSE,FALSE,R,TRUE,TRUE,FALSE,2,TRUE,FALSE,
Izk4NBzkgsI,gang,འོ་ གང་ ལ་ ཁ་ལག་ བཏང་ དགོས་ ཡོད་ ཟེར །,22,གང་ ལ་,164,165,FALSE,i,FALSE,FALSE,R,TRUE,FALSE,FALSE,2,FALSE,FALSE,
LDzkYW5rcxO,kha lag,འོ་ གང་ ལ་ ཁ་ལག་ བཏང་ དགོས་ ཡོད་ ཟེར །,22,ཁ་ལག་,166,166,FALSE,n,FALSE,FALSE,T,FALSE,FALSE,FALSE,2,FALSE,FALSE,
HxYlkgoJwTA,bkra shis nor bu'i rtsar,ང འི་ རྩར་ ནས་ དངུལ་ ཁྱེར་ བྱས་ ཕར་ སྤྲད་པ་ རེད །,23,ང འི་ རྩར་ ནས་,172,175,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,4,FALSE,FALSE,
K0lnmBkAXK7,dngul,ང འི་ རྩར་ ནས་ དངུལ་ ཁྱེར་ བྱས་ ཕར་ སྤྲད་པ་ རེད །,23,དངུལ་,176,176,FALSE,i,FALSE,FALSE,P,FALSE,FALSE,FALSE,1,FALSE,FALSE,
nssgld0Cc0T,bkra shis nor bu,ཀས་ ཁྱོད་རང་ མ་པིན་ བཤད་ མི་ དགོས་ ལྟ །,24,ཁྱོད་རང་,184,184,TRUE,i,FALSE,FALSE,A,TRUE,FALSE,TRUE,2,TRUE,FALSE,
S36WmcnDrcQ,ma pin,ཀས་ ཁྱོད་རང་ མ་པིན་ བཤད་ མི་ དགོས་ ལྟ །,24,མ་པིན་,185,185,FALSE,n,FALSE,FALSE,P,FALSE,FALSE,FALSE,2,FALSE,FALSE,
ukW25FeZ1q8,bkra shis nor bu,ང་ ཁྱོད་རང་ ལ་ མ་པིན་ བཤད་ ན་ གང་ བྱེད་ དགོས་ ཀྱི་ རེད་,25,ང་,191,191,TRUE,i,FALSE,FALSE,A,TRUE,TRUE,FALSE,1,TRUE,FALSE,
CNHVEDmqhtA,bskal bzang phun tshogs,ང་ ཁྱོད་རང་ ལ་ མ་པིན་ བཤད་ ན་ གང་ བྱེད་ དགོས་ ཀྱི་ རེད་,25,ཁྱོད་རང་ ལ་,192,193,TRUE,i,FALSE,FALSE,R,TRUE,FALSE,TRUE,3,TRUE,FALSE,
BFWWSX7INsR,ma pin,ང་ ཁྱོད་རང་ ལ་ མ་པིན་ བཤད་ ན་ གང་ བྱེད་ དགོས་ ཀྱི་ རེད་,25,མ་པིན་,194,194,FALSE,n,FALSE,FALSE,T,FALSE,FALSE,FALSE,2,FALSE,FALSE,
yCsKg5UR0Ds,bskal bzang phun tshogs,ང ས་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །,29,ང ས་,219,220,TRUE,i,FALSE,FALSE,A,TRUE,TRUE,FALSE,2,TRUE,FALSE,
VMVdeVhKFXD,'go khrid rtrsar la,ང ས་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །,29,འགོ་ཁྲིད་ རྩར་ ལ་,221,223,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,4,FALSE,FALSE,
YCxrbZ6r2L8,dngul,<0> ང འི་ དངུལ་ འདི་ གས་ ག་པ ར་ བཏང་པ །,35,ང འི་ དངུལ་ འདི་ གས་,251,255,FALSE,i,TRUE,FALSE,P,FALSE,FALSE,FALSE,5,FALSE,FALSE,
