"id","name","unitLastWord","unitSeqLast","word","argOrder","noPrevMentions","noPrevZero","noNextMentions","noNextZero","bridge","justFirst","justLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom"
"l8pYCcmhrQD","lha sa","ལྷ་ས ར་ ཡ་",4,"ལྷ་ས ར་ ཡ་",1,0,0,0,0,0,0,0,TRUE,"i",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,4,FALSE
"LIvLUWHSwNE","'jag ma gling ka","འཇག་མ་ གླིང་ཁ་ ཟེར་ མཁན་ ཡོད་ རེད་པ །",5,"འཇག་མ་ གླིང་ཁ་ ཟེར་ མཁན་",2,0,0,2,0,0,0,0,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,6,FALSE
"WMbll4ONA57","rgan lags","ཨ་ནི་ རྒན་ ལགས་ ཀྱི་  ས་",10,"རྒན་ ལགས་ ཀྱི་  ས་",1,1,0,0,0,0,0,0,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,TRUE,3,FALSE
"JVMJphbHCv3","'jag ma gling ka","འཇག་མ་ གླིང་ཁ འི་ སྐོར་ འདི་",11,"འཇག་མ་ གླིང་ཁ འི་ སྐོར་ འདི་",2,1,0,1,0,0,0,1,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,7,FALSE
"L2b9JoFoDm9","'jag ma gling ka","ལྟ་ འཇག་མ་ གླིང་ཁ འི་ /",15,"འཇག་མ་ གླིང་ཁ འི་",1,2,0,0,0,0,0,2,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,5,FALSE
"62PsAEKtAKt","'jag ma gling kha'i ming","ག་རེ་ ཞུ་ གི་ ཡོད་ རེད་ ད །",17,"ག་རེ་",2,0,2,1,2,0,0,0,FALSE,"n",FALSE,TRUE,"PRED",FALSE,FALSE,FALSE,2,TRUE
"zzgIbASCGaN","rgan lags","ང་ སྔོན་མ་ སྒང་ ལ་ དེ་ ལ་ འགྲོ་ མྱོང་ །",32,"ང་",1,1,1,0,1,0,0,0,TRUE,"i",FALSE,FALSE,"S",TRUE,TRUE,FALSE,1,TRUE
"mKlDIrNWulW","'jag ma gling kha (the name)","ང་ སྔོན་མ་ སྒང་ ལ་ དེ་ ལ་ འགྲོ་ མྱོང་ །",32,"དེ་ ལ་",2,1,0,1,0,0,0,0,FALSE,"i",TRUE,FALSE,"E",FALSE,FALSE,FALSE,2,TRUE
"TwW43IO7136","'di 'dras byed dus (cut grass, clean trees etc)","འདི་འདྲ་ བྱེད་ དུས །",62,"འདི་འདྲ་ བྱེད་ དུས",1,0,0,0,0,0,0,0,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,3,FALSE
"TgcmSuZ4IKn","drug cu re grangs","དྲུག་ཅུ་ རེ་གྲངས་ ནང་ ལ་ རེད །",64,"དྲུག་ཅུ་ རེ་གྲངས་ ནང་ ལ་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,6,FALSE
"b6UynfbbBsX","phyags ma","འོ་ ལྟ་ ཕྱགས་མ་",75,"ཕྱགས་མ་",1,1,0,1,0,0,0,0,FALSE,"n",TRUE,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE
"jl7mmyUw3Sb","'jag ma gling ka","འཇག་མ་ གླིང་ཁ་ ནས་ རྙེད་ བྱས་ ཕྱགས་མ་",76,"འཇག་མ་ གླིང་ཁ་ ནས་",2,1,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,5,FALSE
"5XgWjll1HuA","lha sa","སྐབས་ དེ་དུས་ ད་ ལྷ་ས འི་ ནང་ ལ་ ཆོག་སྤང་ ཟེར་ ན འི་ འདྲ །",88,"ལྷ་ས འི་ ནང་ ལ་",1,0,0,0,0,0,0,0,TRUE,"i",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,5,FALSE
"3dSkRAH8f17Bh","rkun ma","རྐུན་མ་ འདི་འདྲ་ ཟེར་ ན འི་ འདྲ་ _P_ ཡོད་ རེད །",89,"ཆོག་སྤང་ ཟེར་ ན འི་ འདྲ ། རྐུན་མ་ འདི་འདྲ་ ཟེར་ ན འི་ འདྲ་",2,1,0,1,0,0,0,0,FALSE,"n",FALSE,FALSE,"EXIST",TRUE,FALSE,FALSE,15,FALSE
"Xbsl1lTh28h","rkun ma (some of them)","འདི་འདྲས་ ཁ་ཤས་",90,"འདི་འདྲས་ ཁ་ཤས་",1,0,0,0,0,4,0,0,FALSE,"n",TRUE,FALSE,"S",TRUE,FALSE,FALSE,4,FALSE
"YNpznqJPB03","'jag ma gling ka","འཇག་མ་ གླིང་ཁ འི་ ནང་ དུ་ ##",92,"འཇག་མ་ གླིང་ཁ འི་ ནང་ དུ་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,7,FALSE
"hapVRs08zj3Go","gling kha'i nang la rkun ma yod red","རྐུན་མ་ ཡོད་ རེད་ ཞེས་ ང་ རས་ གོ་ མྱོང་ །",110,"རྐུན་མ་ _uh_ གླིང་ཁ འི་ ནང་ རྐུན་མ་ ཡོད་ རེད་ ཞེས་",1,3,0,1,0,0,0,0,FALSE,"i",TRUE,FALSE,"P",FALSE,FALSE,FALSE,12,FALSE
