"id","name","unitLastWord","unitSeqLast","word","argOrder","noPrevMentions","noPrevZero","noNextMentions","noNextZero","bridge","justFirst","justLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom"
"uFhXqPeO6Fn","phur sgron","ཁྱེད་རང་ དགའ་རོགས་ སྒྲིག་པ་ རེད་ ཟེར །",33,"ཁྱེད་རང་",1,1,1,3,1,0,0,0,TRUE,"i",TRUE,FALSE,"A",TRUE,FALSE,TRUE,2,TRUE
"aPCeDiX2Tvy","zla ba","ཁྱེད་རང་ དགའ་རོགས་ སྒྲིག་པ་ རེད་ ཟེར །",33,"དགའ་རོགས་",2,0,0,0,0,0,0,0,FALSE,"n",FALSE,FALSE,"P",TRUE,FALSE,FALSE,2,FALSE
"v6nU9IJMU3f","zla sgron","ང ས་ གང་ག་ ཧ་གོ་ བྱུང་ །",38,"ང ས་",1,0,0,1,0,0,0,0,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE
"uO1HJecmb7i","Pudrön and Dawa's affair","ང ས་ གང་ག་ ཧ་གོ་ བྱུང་ །",38,"གང་ག་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE
"NKP7FykEaHe","phur sgron","ཁྱེད་རང་ ང འི་ གྲོགས་མོ་ ཡག་ ཤོས་ དེ་ རེད །",41,"ཁྱེད་རང་",1,2,0,5,0,0,1,0,TRUE,"i",TRUE,FALSE,"COPS",TRUE,FALSE,TRUE,2,TRUE
"ZRvLy6GI7rS","phur sgron","ཁྱེད་རང་ ང འི་ གྲོགས་མོ་ ཡག་ ཤོས་ དེ་ རེད །",41,"ང འི་ གྲོགས་མོ་ ཡག་ ཤོས་ དེ་",2,2,0,5,0,0,1,0,TRUE,"i",FALSE,FALSE,"PRED",TRUE,FALSE,TRUE,7,FALSE
"q15s3MVbHIx","phur sgron","བྱས་ ན འི་ ཁྱེད་རང་ ང འི་ གྲོགས་མོ འི་ ཡག་ ཤོས་",47,"ཁྱེད་རང་",1,3,1,3,1,0,1,1,TRUE,"i",TRUE,FALSE,"COPS",TRUE,FALSE,TRUE,2,TRUE
"pfdUGPIvuaihB","phur sgron","དེ་ རེད་ ད །",48,"ང འི་ གྲོགས་མོ འི་ ཡག་ ཤོས་ དེ་",2,5,1,3,1,0,2,1,TRUE,"i",FALSE,FALSE,"PRED",TRUE,FALSE,TRUE,8,FALSE
"jlJcdjio1Ho","zla ba","མི ས་ ང་ བཙུགས་པོ་ མ་ བཞག་ ན་",49,"མི ས་",1,0,0,0,0,2,0,0,FALSE,"n",FALSE,FALSE,"A",TRUE,FALSE,FALSE,2,FALSE
"VoLj1pUSojy","zla sgron","མི ས་ ང་ བཙུགས་པོ་ མ་ བཞག་ ན་",49,"ང་",2,1,0,2,0,2,0,0,TRUE,"i",TRUE,FALSE,"P",TRUE,TRUE,FALSE,1,TRUE
