"id","name","unitLastWord","unitSeqLast","word","argOrder","noPrevMentions","noPrevZero","noNextMentions","noNextZero","bridge","justFirst","justLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom"
"Bf138ofV85Z","zla sgron gyi a ma lags","ཁྱེད་རང་ གི་ ཨ་མ་ ལགས་ ཀྱིས་",9,"ཁྱེད་རང་ གི་ ཨ་མ་ ལགས་ ཀྱིས་",1,0,0,2,0,0,0,0,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,FALSE,7,FALSE
"04deSkHskdq","impressed with you","ག་རེ་ གསུང་ གི་ འདུག",10,"ག་རེ་",2,0,0,1,0,0,0,0,FALSE,"n",FALSE,TRUE,"P",FALSE,FALSE,FALSE,2,TRUE
"pVav2rBJTEa","zla sgron gyi a ma lags","ང འི་ ཨ་མ་ ལགས་",11,"ང འི་ ཨ་མ་ ལགས་",1,1,0,2,0,0,1,0,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,FALSE,5,FALSE
"GZgoSBnBQ2N","zla ba","ཁྱེད་རང་ ལ་ མགུ་པོ་ ཞེ་པོ་ བྱུང་ བཞག",12,"ཁྱེད་རང་ ལ་",2,3,0,2,0,0,0,0,TRUE,"i",FALSE,FALSE,"P",TRUE,FALSE,TRUE,3,TRUE
"j6Hx5apsvUV","zla sgron gyi a ma lags","ང་ ཁྱེད་རང་ ལ་ ཅིག་ ཞུ་ ཡ་",17,"ང་",1,2,0,1,0,0,2,0,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,1,TRUE
"Pl1VdPAyAgw","zla ba","ང་ ཁྱེད་རང་ ལ་ ཅིག་ ཞུ་ ཡ་",17,"ཁྱེད་རང་ ལ་",2,3,0,0,0,0,0,1,TRUE,"i",FALSE,FALSE,"R",TRUE,FALSE,TRUE,3,TRUE
"zKxhZCVjMu2","zhu ya","ང་ ཁྱེད་རང་ ལ་ ཅིག་ ཞུ་ ཡ་",17,"ཅིག་",3,0,0,0,0,0,0,0,FALSE,"n",FALSE,FALSE,"T",FALSE,FALSE,FALSE,1,FALSE
"il5rAmpBcnc","zla sgron gyi las khungs","ང་ ཚོ འི་ ལས་ཁུངས་ ནས་",20,"ང་ ཚོ འི་ ལས་ཁུངས་ ནས་",1,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"A",FALSE,FALSE,FALSE,6,FALSE
"DCvGpn3NVqQ","zla sgron gyi a ma lags","ང་ རྒྱ་ནག་ ལ་ <0> སློབ་སྦྱོང་ བྱེད་ གར་ རྒྱུགས་ ཟེར་ གྱིས །",21,"ང་",1,2,1,0,1,0,2,0,TRUE,"i",TRUE,FALSE,"S",TRUE,TRUE,FALSE,1,TRUE
"jvneRvsVzsx","nga rgya nag la 'gro","ང་ རྒྱ་ནག་ ལ་ <0> སློབ་སྦྱོང་ བྱེད་ གར་ རྒྱུགས་ ཟེར་ གྱིས །",21,"ང་ རྒྱ་ནག་ ལ་ <0> སློབ་སྦྱོང་ བྱེད་ གར་ རྒྱུགས་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,9,FALSE
