"id","name","unitLastWord","unitSeqLast","word","argOrder","noPrevMentions","noPrevZero","noNextMentions","noNextZero","bridge","justFirst","justLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom"
"FUOMlGnfRgk","khong tsho (?)","ཁོང་ ཚོ ས་ མཁྲིས་པ་ ཟེར་ ཡ་ ཅིག་ རེད་ ཟེར་ གྱིས་",11,"ཁོང་ ཚོ ས་",1,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"A",TRUE,FALSE,FALSE,3,TRUE
"iLMrZCaNdp7","mkhris pa","ཁོང་ ཚོ ས་ མཁྲིས་པ་ ཟེར་ ཡ་ ཅིག་ རེད་ ཟེར་ གྱིས་",11,"མཁྲིས་པ་",1,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"COPS",FALSE,FALSE,FALSE,2,FALSE
"qiMNaKpf4B1","mkhris pa zer ya gcig red","ཁོང་ ཚོ ས་ མཁྲིས་པ་ ཟེར་ ཡ་ ཅིག་ རེད་ ཟེར་ གྱིས་",11,"མཁྲིས་པ་ ཟེར་ ཡ་ ཅིག་ རེད་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,6,FALSE
"dHWPh1Wb94S","zer ya","ཁོང་ ཚོ ས་ མཁྲིས་པ་ ཟེར་ ཡ་ ཅིག་ རེད་ ཟེར་ གྱིས་",11,"ཟེར་ ཡ་ ཅིག་",2,0,0,0,0,0,0,0,FALSE,"n",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,3,FALSE
"2dSVaq3Lxhz","the illness","ད་ དེ་ ག་རེ་ རེད་  ཟེར་ ན་",31,"དེ་",1,0,3,0,3,0,0,0,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,1,TRUE
"JspuJyOYNbO","sman rtsis khang la 'di gcig red","ད་ དེ་ ག་རེ་ རེད་  ཟེར་ ན་",31,"ག་རེ་",2,0,0,2,0,0,0,0,FALSE,"n",FALSE,TRUE,"PRED",FALSE,FALSE,FALSE,2,TRUE
"CKox6TdIvNW","mkhris pa'i nang logs la","མཁྲིས་པ འི་ ནང་ལོགས་ ལ་ རྡོ་ ཡོད་པ་ ཅིག་ ཡོད་ རེད་ པ །",58,"མཁྲིས་པ འི་ ནང་ལོགས་ ལ་",1,0,0,1,0,0,0,0,FALSE,"i",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,6,FALSE
"89jnsca1AgE","rdo","མཁྲིས་པ འི་ ནང་ལོགས་ ལ་ རྡོ་ ཡོད་པ་ ཅིག་ ཡོད་ རེད་ པ །",58,"རྡོ་",2,0,0,2,0,0,0,0,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,1,FALSE
"nNQGJ9armTk","rgan lags","ད་ ང ས་ དེ འི་ མིང་ དེ་ བཤད་ ཤེས་ མ་ སོང་ །",64,"ང ས་",1,0,0,0,0,0,0,0,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE
"YGCe3agrpW3","rgya sman gyi ming","ད་ ང ས་ དེ འི་ མིང་ དེ་ བཤད་ ཤེས་ མ་ སོང་ །",64,"དེ འི་ མིང་ དེ་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,4,FALSE
