"id","name","unitLastWord","unitSeqLast","word","argOrder","noPrevMentions","noPrevZero","noNextMentions","noNextZero","bridge","justFirst","justLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom"
"uBdSHtFOFUq","bkra shis nor bu","ཁྱོད་རང་ ང འི་ དངུལ་ འདི་ གས་ འཁྱེར །",1,"ཁྱོད་རང་",1,0,0,2,0,0,0,0,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,TRUE,2,TRUE
"dygaiP2bTGF","dngul","ཁྱོད་རང་ ང འི་ དངུལ་ འདི་ གས་ འཁྱེར །",1,"ང འི་ དངུལ་ འདི་ གས་",2,0,0,1,0,0,0,0,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,5,FALSE
"1O5egNUTbaX","bskal bzang phun tshogs","ང ར་ ཡ་ ལས་ཀ་ ན་ ཅིག་ བསྒྱུར་ གོ་ ཟེར །",2,"ང ར་ ཡ་",1,0,0,1,0,0,0,0,TRUE,"i",FALSE,FALSE,"R",TRUE,TRUE,FALSE,3,TRUE
"TYzqb07RSDB","las ka","ང ར་ ཡ་ ལས་ཀ་ ན་ ཅིག་ བསྒྱུར་ གོ་ ཟེར །",2,"ལས་ཀ་ ན་ ཅིག་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"T",FALSE,FALSE,FALSE,4,FALSE
"qOkIo3iyech","bkra shis nor bu","ང ར་ ཐབས་ཤེས་ ག་རེ་ ཡོད་ རེད །",5,"ང ར་",1,1,0,4,0,0,1,0,TRUE,"i",TRUE,FALSE,"COPLOC",TRUE,TRUE,FALSE,2,TRUE
"m07NxNL52TL","thabs shes","ང ར་ ཐབས་ཤེས་ ག་རེ་ ཡོད་ རེད །",5,"ཐབས་ཤེས་ ག་རེ་",2,0,0,0,0,0,0,0,FALSE,"n",FALSE,TRUE,"EXIST",FALSE,FALSE,FALSE,4,FALSE
"MQbC8m6rWnc","bkra shis nor bu","ཁྱོད་རང་ ང ར་ ཡ་ ཉི་མ་ ཤ་སྟག་ བསྟན་ བྱུང་ གས །",7,"ཁྱོད་རང་",1,2,0,3,0,0,2,0,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,TRUE,2,TRUE
"sfjuveXVrBz","bskal bzang phun tshogs","ཁྱོད་རང་ ང ར་ ཡ་ ཉི་མ་ ཤ་སྟག་ བསྟན་ བྱུང་ གས །",7,"ང ར་ ཡ་",2,1,1,0,1,0,1,0,TRUE,"i",FALSE,FALSE,"R",TRUE,TRUE,FALSE,3,TRUE
"lXOLclAawBI","nyi ma","ཁྱོད་རང་ ང ར་ ཡ་ ཉི་མ་ ཤ་སྟག་ བསྟན་ བྱུང་ གས །",7,"ཉི་མ་",3,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"T",FALSE,FALSE,FALSE,2,FALSE
"kirrFc0ogoP","bkra shis nor bu","ཨ་ནི་ ང་ ག་རེ་ བྱེད་ དགོས་ ཀྱི་ རེད །",13,"ང་",1,2,2,2,2,0,2,0,TRUE,"i",TRUE,FALSE,"A",TRUE,TRUE,FALSE,1,TRUE
