id,doc,chain,sourceLink,token,gapWords,roleType,charCount,tokenCount,gapUnits,kind,endNote,lit,POS_dft,wordWylie,word,tokenOrderFirst,tokenOrderLast,docTokenSeqFirst,docTokenSeqLast,chainCreateSeq,name,trailLayer,chainSize,entityType,layer,unitSeqFirst,unitSeqLast,treeEntry,combinedChunk,TextNoTsheg,TextNoCase,case,yang,ni,possessor,person,id_lower,doc_lower,unitStart,unitEnd,pID,inClique,srtLineStart,srtLineBo,iuEnd,iuStart,srtLineEn,iu,srtLineID,iuText,speaker,srtLineEnd,word_lower,wordWylie_lower,docTokenSeqFirst_lower,docTokenSeqLast_lower,reflexive,pronType,definite,identifiable,semrole,lexicality,referential,unitLastWord,treeParent,verbID,verbWord,lemma,suffix,force,evidMod,TA,subord,verbTokenSeqFirst,noPrevMentions,noPrevZero,noNextMentions,noNextZero,allPrevMentions,allPrevZero,allNextMentions,allNextZero,noPrevMentionsFar,noPrevZeroFar,noNextMentionsFar,noNextZeroFar,bridge,haveBridges,local,argOrder,noArgs,argBack,justFirst,justLast,interrog,argType,topic,animate,self,addressee,length,pronom,containsVerb,argTypeNew
334EFFB04DAA1,three-caught-8261,272229DC3363C,,35AAF39001334,N/A,S,8,2,N/A,,,,,nga  gnyis ,ང་ གཉིས་,2,3,21,22,5,zla ba dng phur sgron,NA,4,person,refexpr,5,5,302A4812C9039,,ང་ གཉིས,ང་གཉིས,NA,,,FALSE,1,1E0B667566F14,three-caught-8261,12.526685300697597,13.2230327347436,NA,NA,11.033,དེ་རིང་༼དེ་གཉིས་༽ང་གཉིས་ག་པར་འགྲོ་ག༼གཱ༽,13.2230327347436,12.526685300697597,where do you want to go today?,8,2,དེ་རིང་༼དེ་གཉིས་༽ང་གཉིས་ག་པར་འགྲོ་ག༼གཱ༽,ཟླ་བ་,13.767,དེ་རིང་ ང་ གཉིས་ ག་པ ར་ འགྲོ་ ག,de ring  nga  gnyis  ga pa ra  'gro  ga,20,26,N,pers,d,2,agent,p,R,དེ་རིང་ ང་ གཉིས་ ག་པ ར་ འགྲོ་ ག,1EBD676196C9,1D1FCA66AC663,འགྲོ་ ག,འགྲོ,ག,Q,None,Neutral,NA,25,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,2,0,0,0,S,0,1,1,0,1.0986122886681098,1,FALSE,Base
1E3B209283482,three-caught-8261,1D8D3D05D1C07,,102E04CA7AD15,N/A,OBL,6,2,N/A,,,,,ga pa ra ,ག་པ ར་,4,5,23,24,6,'gro sa,NA,2,location,refexpr,5,5,20991259CCEDF,,ག་པ ར,ག་པ,ར,,,FALSE,3,1E0B667566F14,three-caught-8261,12.526685300697597,13.2230327347436,NA,NA,11.033,དེ་རིང་༼དེ་གཉིས་༽ང་གཉིས་ག་པར་འགྲོ་ག༼གཱ༽,13.2230327347436,12.526685300697597,where do you want to go today?,8,2,དེ་རིང་༼དེ་གཉིས་༽ང་གཉིས་ག་པར་འགྲོ་ག༼གཱ༽,ཟླ་བ་,13.767,དེ་རིང་ ང་ གཉིས་ ག་པ ར་ འགྲོ་ ག,de ring  nga  gnyis  ga pa ra  'gro  ga,20,26,N,inter,i,1,location/goal,p,R,དེ་རིང་ ང་ གཉིས་ ག་པ ར་ འགྲོ་ ག,1EBD676196C9,1D1FCA66AC663,འགྲོ་ ག,འགྲོ,ག,Q,None,Neutral,NA,25,0,0,0.6931471805599453,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,1,E,0,0,0,0,1.3862943611198906,1,FALSE,E
233EE240926D,three-caught-8261,2908ED6D1E453,,90B86C984E22,N/A,COPLOC,15,4,N/A,,,,,nga 'i  sems  nang ,ང འི་ སེམས་ ནང་,1,4,87,90,14,zla ba'i sems,NA,1,abstract,refexpr,19,19,70413C08BF65,,ང འི་ སེམས་ ནང,ངའི་སེམས་ནང,NA,,,FALSE,3,1EC180840ED05,three-caught-8261,31.615404293135718,32.22035612646318,NA,NA,28.1,ལྟ་མ་གཞི་ནས་ཟླ་སྒྲོན་དཱ་རྒྱུས་མེད་ད༼དཱ་༽། ངའི་སེམས་ནང་རང་མ་གཞི་མེད། ,32.22035612646318,31.615404293135718,She is not important anymore. I only have you in my heart.,22,8,ངའི་སེམས་ནང་,ཟླ་བ་,33.833,ང འི་ སེམས་ ནང་,nga 'i  sems  nang ,87,90,N,nonPron,na,2,NA,l,R,ང འི་ སེམས་ ནང་,3B7A32FBAC5F,2CAE95E65FE80,མེད,མེད,,Ind,Ego,Neutral,NA,93,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,COPLOC,0,0,0,0,1.6094379124341003,0,FALSE,Base
227B3D218B3E9,three-caught-8261,4C6A2249F154,1FAD127C3AF10,1ECD84A31643E,44,EXIST,10,2,9,,,,,rang  ma gzhi ,རང་ མ་གཞི་,1,2,91,92,2,phur sgron,NA,7,person,refexpr,20,20,1E52E9D6B2155,,རང་ མ་གཞི,རང་མ་གཞི,NA,,,FALSE,2,3627AC83ECD02,three-caught-8261,32.412921596718284,33.18760811709446,NA,NA,28.1,ལྟ་མ་གཞི་ནས་ཟླ་སྒྲོན་དཱ་རྒྱུས་མེད་ད༼དཱ་༽། ངའི་སེམས་ནང་རང་མ་གཞི་མེད། ,33.18760811709446,32.412921596718284,She is not important anymore. I only have you in my heart.,23,8,རང་མ་གཞི་མེད། ,ཟླ་བ་,33.833,རང་ མ་གཞི་ མེད །,rang  ma gzhi  med /,91,94,N,pers,d,2,possessor,p,R,རང་ མ་གཞི་ མེད །,3B7A32FBAC5F,2CAE95E65FE80,མེད,མེད,,Ind,Ego,Neutral,NA,93,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,2,2,2,2,0.6931471805599453,1,0,1,2,1,1,2,2,1,0,0,0,EXIST,0,1,0,1,1.3862943611198906,1,FALSE,EXIST
2C256B072A61,three-friction-2883,8CA5A4F0F7AC,,C2D7A866CD4C,N/A,COPS,4,1,N/A,,,,,'di ,འདི་,2,2,24,24,3,nang,NA,5,location,refexpr,5,5,8377D6BC3136,,འདི,འདི,NA,,,FALSE,3,139C4AEF77B45,three-friction-2883,17.02333069115677,18.537886360206834,NA,NA,15.175,ཁྱེད་རང་གི་བསམ་བློའི་ནང་འདི་མགྲོན་ཁང་འདྲ་ཅིག་༿ར་ཅིག་༾རེད་བསམ་་གནང་གི་འདུག་གས། ,18.537886360206834,17.02333069115677,Do you think this house is a hotel?!,5,3,འདི་མགྲོན་ཁང་ར་ཅིག་༿འདྲ་ཅིག་༾རེད་བསམ་་གནང་གི་འདུག་གས། ,ཨ་མ་ལགས་,17.406,<0> འདི་ མགྲོན་ཁང་ འདྲ་ཅིག་ རེད་ བསམ་་ གནང་ གི་ འདུག་ གས །, 'di  mgron khang  'dra cig  red  bsam   gnang  gi  'dug  gas /,23,33,N,dem,d,2,theme,p,R,<0> འདི་ མགྲོན་ཁང་ འདྲ་ཅིག་ རེད་ བསམ་་ གནང་ གི་ འདུག་ གས །,F2FF68E0A378,3D22C441A817,རེད་,རེད,,Ind,Ind,Neutral,NA,27,0,0,0.6931471805599453,0,0,0,3,0,0,0,1.0986122886681098,0,0,0,0,1,2,2,0,0,0,COPS,1,0,0,0,0.6931471805599453,1,FALSE,Base
2B9E857D96E56,three-friction-2883,8CA5A4F0F7AC,2671C75F69C47,387DFB426F99C,1,PRED,18,2,0,,,,,mgron khang  'dra cig ,མགྲོན་ཁང་ འདྲ་ཅིག་,3,4,25,26,3,nang,NA,5,location,refexpr,5,5,1E4D1B0BB9993,,མགྲོན་ཁང་ འདྲ་ཅིག,མགྲོན་ཁང་འདྲ་ཅིག,NA,,,FALSE,3,139C4AEF77B45,three-friction-2883,17.02333069115677,18.537886360206834,NA,NA,15.175,ཁྱེད་རང་གི་བསམ་བློའི་ནང་འདི་མགྲོན་ཁང་འདྲ་ཅིག་༿ར་ཅིག་༾རེད་བསམ་་གནང་གི་འདུག་གས། ,18.537886360206834,17.02333069115677,Do you think this house is a hotel?!,5,3,འདི་མགྲོན་ཁང་ར་ཅིག་༿འདྲ་ཅིག་༾རེད་བསམ་་གནང་གི་འདུག་གས། ,ཨ་མ་ལགས་,17.406,<0> འདི་ མགྲོན་ཁང་ འདྲ་ཅིག་ རེད་ བསམ་་ གནང་ གི་ འདུག་ གས །, 'di  mgron khang  'dra cig  red  bsam   gnang  gi  'dug  gas /,23,33,N,nonPron,i,1,none,l,NR,<0> འདི་ མགྲོན་ཁང་ འདྲ་ཅིག་ རེད་ བསམ་་ གནང་ གི་ འདུག་ གས །,F2FF68E0A378,3D22C441A817,རེད་,རེད,,Ind,Ind,Neutral,NA,27,0,0,0.6931471805599453,0,0,0,3,0,0,0,1.0986122886681098,0,0,0,0,2,2,1,0,0,0,PRED,0,0,0,0,1.6094379124341003,0,FALSE,PRED
6AE447DCF236,three-friction-2883,3560A34174F82,15AE9BEF7CE2E,31EF301C21C25,32,A,8,1,6,,,,,khyed rang ,ཁྱེད་རང་,5,5,68,68,1,pa lags,NA,23,person,refexpr,13,13,AC8840390077,,ཁྱེད་རང,ཁྱེད་རང,NA,,,FALSE,2,FCB447C410E2,three-friction-2883,27.55087147396773,28.900044627431868,NA,NA,25.326,ལས་ཁུངས་ལས་ཁུངས་ལས་ཁུངས་ཟེ་རྟག་པར་རེ་བཞིན་ཁྱེད་རང་ལས་ཁུངས་ཟེར་བྱས་ནང་འདིའི་སྦུག་ལ་ཡ་ང་གཉིས་མ་བུ་གཉིས་ལ་ཡང་ཇུས་གཏོགས་ཁོ་རང་གནང་གི་མི་འདུག་གཁྱེད་རང་གིས། ,28.900044627431868,27.55087147396773,"It's always ""office, office, office"". Always talking about the office. You're not getting involved at home, with me and our son.",13,6,རྟག་པར་རེ་བཞིན་ཁྱེད་རང་ལས་ཁུངས་ཟེར་བྱས་,ཨ་མ་ལགས་,30.803,རྟག་པ ར་ རེ་ བཞིན་ ཁྱེད་རང་ ལས་ཁུངས་ ཟེར་ བྱས་,rtag pa ra  re  bzhin  khyed rang  las khungs  zer  byas ,64,71,N,pers,d,2,agent,p,R,རྟག་པ ར་ རེ་ བཞིན་ ཁྱེད་རང་ ལས་ཁུངས་ ཟེར་ བྱས་,3089767446054,1FEFCCA2A7ED3,ཟེར་ བྱས་,ཟེར,བྱས,Ind,None,Neutral,Conv,70,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.0986122886681098,2,2,14,2,0.6931471805599453,0,2.6390573296152584,0,0,0,1,1,2,2,0,0,0,A,1,1,0,1,1.0986122886681098,1,FALSE,Base
BD6B871CB463,three-friction-2883,751D122DA338,1E97C6DEDA58C,CC35D3012C55,9,P,8,1,1,,,,,las khungs ,ལས་ཁུངས་,6,6,69,69,5,las khungs,NA,4,location,refexpr,13,13,1D90D858869B,,ལས་ཁུངས,ལས་ཁུངས,NA,,,FALSE,3,FCB447C410E2,three-friction-2883,27.55087147396773,28.900044627431868,NA,NA,25.326,ལས་ཁུངས་ལས་ཁུངས་ལས་ཁུངས་ཟེ་རྟག་པར་རེ་བཞིན་ཁྱེད་རང་ལས་ཁུངས་ཟེར་བྱས་ནང་འདིའི་སྦུག་ལ་ཡ་ང་གཉིས་མ་བུ་གཉིས་ལ་ཡང་ཇུས་གཏོགས་ཁོ་རང་གནང་གི་མི་འདུག་གཁྱེད་རང་གིས། ,28.900044627431868,27.55087147396773,"It's always ""office, office, office"". Always talking about the office. You're not getting involved at home, with me and our son.",13,6,རྟག་པར་རེ་བཞིན་ཁྱེད་རང་ལས་ཁུངས་ཟེར་བྱས་,ཨ་མ་ལགས་,30.803,རྟག་པ ར་ རེ་ བཞིན་ ཁྱེད་རང་ ལས་ཁུངས་ ཟེར་ བྱས་,rtag pa ra  re  bzhin  khyed rang  las khungs  zer  byas ,64,71,N,nonPron,na,2,theme,l,NR,རྟག་པ ར་ རེ་ བཞིན་ ཁྱེད་རང་ ལས་ཁུངས་ ཟེར་ བྱས་,3089767446054,1FEFCCA2A7ED3,ཟེར་ བྱས་,ཟེར,བྱས,Ind,None,Neutral,Conv,70,1.0986122886681098,0,0,0,2,0,1,0,0,0,0.6931471805599453,0,0,0,0,2,2,1,0,0,0,P,0,0,0,0,1.0986122886681098,0,FALSE,P
3315183081D54,three-friction-2883,357B8D6832C4B,,25E319933AE3B,N/A,P,12,2,N/A,,,,,'gang ga  tshang ma ,འགང་ག་ ཚང་མ་,1,2,176,177,23,tshang ma,NA,2,abstract,refexpr,36,36,1A12896B483E2,,འགང་ག་ ཚང་མ,འགང་ག་ཚང་མ,NA,,,FALSE,3,1F876B103B842,three-friction-2883,48.84881943244528,50.598392360485896,NA,NA,46.392,ནང་ལ་ཡོང་བྱས་ཡང་ཁ་ལག་བཟོས། འགང་ག་ཚང་མ་ང་མི་གཅིག་གིས་བྱེད་དགོས་ཀྱིས་ཁྱེད་རང་བསམ་བློ་ཏོག་ཙམ་༿ཏིག་ཙ་༾བཏང་གནང་མ་བཞིན། ,50.598392360485896,48.84881943244528,"come back home, and then cook. I do everything by myself.If only you'd think just a little bit.",36,12,འགང་ག་ཚང་མ་ང་མི་གཅིག་གིས་བྱེད་དགོས་ཀྱིས་,ཨ་མ་ལགས་,51.076,འགང་ག་ ཚང་མ་ ང་ མི་ གཅིག་ གིས་ བྱེད་ དགོས་ ཀྱིས་,'gang ga  tshang ma  nga  mi  gcig  gis  byed  dgos  kyis ,176,184,N,nonPron,na,2,theme,l,R,འགང་ག་ ཚང་མ་ ང་ མི་ གཅིག་ གིས་ བྱེད་ དགོས་ ཀྱིས་,1D1665156664C,7C69251F1E79,བྱེད་ དགོས་ ཀྱིས་,བྱེད,དགོས་ ཀྱིས,Ind,Sens,Pres,NA,182,0,0,0,0,0,0,1,0,0,0,0.6931471805599453,0,0,1,0,1,2,2,0,0,0,P,1,0,0,0,1.6094379124341003,0,FALSE,P
1DA8964A074ED,three-friction-2883,1DC51B6CA2FE9,317A3497604EA,36DB9331F2E76,6,A,17,4,1,,,,,nga  mi  gcig  gis ,ང་ མི་ གཅིག་ གིས་,3,6,178,181,4,a ma lags,NA,29,person,refexpr,36,36,215FA9488CC64,,ང་ མི་ གཅིག་ གིས,ང་མི་གཅིག,གིས,,,FALSE,1,1F876B103B842,three-friction-2883,48.84881943244528,50.598392360485896,NA,NA,46.392,ནང་ལ་ཡོང་བྱས་ཡང་ཁ་ལག་བཟོས། འགང་ག་ཚང་མ་ང་མི་གཅིག་གིས་བྱེད་དགོས་ཀྱིས་ཁྱེད་རང་བསམ་བློ་ཏོག་ཙམ་༿ཏིག་ཙ་༾བཏང་གནང་མ་བཞིན། ,50.598392360485896,48.84881943244528,"come back home, and then cook. I do everything by myself.If only you'd think just a little bit.",36,12,འགང་ག་ཚང་མ་ང་མི་གཅིག་གིས་བྱེད་དགོས་ཀྱིས་,ཨ་མ་ལགས་,51.076,འགང་ག་ ཚང་མ་ ང་ མི་ གཅིག་ གིས་ བྱེད་ དགོས་ ཀྱིས་,'gang ga  tshang ma  nga  mi  gcig  gis  byed  dgos  kyis ,176,184,N,nonPron,d,2,agent,l,R,འགང་ག་ ཚང་མ་ ང་ མི་ གཅིག་ གིས་ བྱེད་ དགོས་ ཀྱིས་,1D1665156664C,7C69251F1E79,བྱེད་ དགོས་ ཀྱིས་,བྱེད,དགོས་ ཀྱིས,Ind,Sens,Pres,NA,182,0.6931471805599453,2.0794415416798357,1.791759469228055,2.0794415416798357,2,7,16,7,0.6931471805599453,0,2.4849066497880004,0,0,0,1,2,2,1,0,0,0,A,0,1,1,0,1.6094379124341003,0,FALSE,Base
