"id","name","unitLastWord","unitSeqLast","word","argOrder","noPrevMentions","noPrevZero","noNextMentions","noNextZero","bridge","justFirst","justLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom"
"BHxQ6dgGiK3","current location","ལྟ་ དེ་རིང་ <0> འདི ར་",1,"འདི ར་",1,0,0,0,0,0,0,0,TRUE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,2,TRUE
"bY7jF9uD0uk","lhan rgyas","ལྷན་རྒྱས་ གང་ག་ ཆིབས་བསྒྱུར་ གནང་ རོགས་ ཞེས་ ཞུས་ བྱས་ ན འི་",2,"ལྷན་རྒྱས་ གང་ག་",2,0,0,0,0,0,0,0,TRUE,"i",FALSE,FALSE,"S",TRUE,FALSE,TRUE,4,FALSE
"T17lzIcoMlt","gros bsdur gnang ya yi nang don","གཙོ་བོ་ འདི་དག་ གྲོས་བསྡུར་ གནང་ ཡ་ གི་ ནང་དོན་ ག་རེ་ རེད་ ཟེར་ ན་",3,"འདི་དག་ གྲོས་བསྡུར་ གནང་ ཡ་ གི་ ནང་དོན་",1,0,0,4,0,0,0,0,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,9,FALSE
"RBvNsjXqzfH","gros bsdur gnang ya yi nang don","གཙོ་བོ་ འདི་དག་ གྲོས་བསྡུར་ གནང་ ཡ་ གི་ ནང་དོན་ ག་རེ་ རེད་ ཟེར་ ན་",3,"ག་རེ་",2,0,0,4,0,0,0,0,FALSE,"n",FALSE,TRUE,"PRED",FALSE,FALSE,FALSE,2,TRUE
"4PrVC43leXG","rgan dbang 'dus lags (ka)","ད་ལྟ་ རྒན་ དབང་འདུས་ ལགས་",25,"རྒན་ དབང་འདུས་ ལགས་",1,0,0,0,0,0,0,0,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,FALSE,3,FALSE
"AOF6EM3fYHY","'khrab gzhung","འཁྲབ་གཞུང་ འདི་ ངོ་སྤྲོད་ གནང་ གི་ རེད །",27,"འཁྲབ་གཞུང་ འདི་",2,1,0,3,0,4,0,0,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,3,FALSE
"cOmDraoDUQA","lhan rgyas","ཚང་མ ས་",29,"ཚང་མ ས་",1,0,0,0,0,1,0,0,FALSE,"i",FALSE,FALSE,"A",TRUE,FALSE,TRUE,3,FALSE
"cbOj0XgAXY7","'khrab gzhung","དེ འི་ སྒང་ ལ་ དགོངས་པ་ བཞེས་ བྱས །",30,"དེ འི་ སྒང་ ལ་",2,2,0,2,0,2,0,1,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,4,TRUE
"0tchwKyx0CC","dgongs pa","དེ འི་ སྒང་ ལ་ དགོངས་པ་ བཞེས་ བྱས །",30,"དགོངས་པ་",3,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE
"CYZFtW5yyQE","'khrab gzhung","<0> དེ འི་ སྒང་ ལ་ སྐྱོན་ཆ་ འདྲ་པོ་ ག་རེ་ འདུག",31,"དེ འི་ སྒང་ ལ་",1,3,0,1,0,2,0,1,FALSE,"i",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,4,TRUE
"FOoKz5uehSx","skyon cha","<0> དེ འི་ སྒང་ ལ་ སྐྱོན་ཆ་ འདྲ་པོ་ ག་རེ་ འདུག",31,"སྐྱོན་ཆ་ འདྲ་པོ་ ག་རེ་",2,0,0,0,0,0,0,0,FALSE,"n",FALSE,TRUE,"EXIST",FALSE,FALSE,FALSE,6,FALSE
"hqCJteAewzg","rgan dbang 'dus lags (ka)","སྔས་ ལ་ རྒན་ ལགས་ ཀྱིས་ མར་",36,"རྒན་ ལགས་ ཀྱིས་",1,0,0,0,0,4,0,0,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,TRUE,3,FALSE
"JQWTvUi2PpR","'khrab gzhung","ཨ་ལེ་ འཁྲབ་གཞུང་ གི་ སྐོར་ ལ་",37,"འཁྲབ་གཞུང་ གི་ སྐོར་ ལ་",2,3,1,3,1,0,1,1,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,5,FALSE
"yBYnmc64ENfk1","'khrab gzhung","ཐུང་འདྲས་ #",43,"གཏམ་བརྗོད་ ཟློས་གར་ ཐུང་འདྲས་",1,2,1,1,1,0,0,1,FALSE,"i",TRUE,FALSE,"P",FALSE,FALSE,FALSE,4,FALSE
"LpAX50u3UIR9E","nyi ma dgra 'dul (the writer)","ཉི་མ་ དགྲ་འདུལ་ ལགས་ ཀྱིས་ བརྩམས་ གནང་ བཞག",46,"ང་ རྣམ་ ཚོ འི་ ཚོགས་པ འི་ / ### ཉི་མ་ དགྲ་འདུལ་ ལགས་ ཀྱིས་",2,2,0,2,0,0,0,0,FALSE,"i",FALSE,FALSE,"A",TRUE,FALSE,FALSE,14,FALSE
"0H0i67Cb8t1","'khrab gzhung gi ming","མིང་ ལ་ ཡ་",47,"མིང་ ལ་ ཡ་",1,0,0,3,0,0,0,0,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,3,FALSE
"sys6RGTfUsx","'khrab gzhung gi ming","འདི་ ཟེར་ གྱིས་",48,"འདི་",2,1,0,2,0,0,1,0,FALSE,"i",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,1,TRUE
"J23FkCqfstf","dus tshod (of the script)","དུས་ཚོད་ དེ་ ལྟ་",52,"དུས་ཚོད་ དེ་",1,0,0,6,0,3,0,0,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,3,FALSE
"6Bqixe4WKH3MG","dus tshod (of the script)","དུས་ཚོད་ དེ་",55,"དེང་ ང་རང་ ཚོ་ དེང་སེང་ གི་ དུས་ཚོད་ དེ་",2,3,0,4,0,0,1,0,FALSE,"i",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,9,FALSE
