id,doc,chain,sourceLink,token,gapWords,roleType,charCount,tokenCount,gapUnits,referential,lit,Col.0,chunkLayer,wordWylie,word,tokenOrderFirst,tokenOrderLast,docTokenSeqFirst,docTokenSeqLast,chainCreateSeq,name,chainSize,entityType,trailLayer,layer,unitSeqFirst,unitSeqLast,treeEntry,TextNoTsheg,TextNoCase,case,yang,possessor,person,reflexive,pronType,definite,identifiable,semrole,lexicality,unitLastWord,treeParent,verbID,verbWord,lemma,suffix,force,evidMod,TA,subord,verbTokenSeqFirst,combinedChunk,noPrevMentions,noPrevZero,noNextMentions,noNextZero,allPrevMentions,allPrevZero,allNextMentions,allNextZero,noPrevMentionsFar,noPrevZeroFar,noNextMentionsFar,noNextZeroFar,bridge,haveBridges,local
1D1EB1168ED12,three-flirt-2501,10D53978FDD25,2D67BAE4FB5DE,110E46DF28CC4,15,S,8,1,3,R,,25,,khyed rang ,ཁྱེད་རང་,1,1,28,28,1,phur sgron,14,person,NA,refexpr,9,9,2C7DE9D317832,ཁྱེད་རང,ཁྱེད་རང,,,FALSE,2,N,pers,d,i,agent,p,ཁྱེད་རང་ དངོས་གནས་,38BD8270A02EE,2D4C43D8E9B0A,འགྲོ་ གི་ འདུག་ ག,འགྲོ,གི་ འདུག་ ག,Rhet,Sens,Pres,NA,32,,1,1,1,1,1,1,5,1,0,0,4,0,0,FALSE,TRUE
1316493FAE176,three-flirt-2501,631DDEED871F,,235524BFB137,N/A,EXIST,8,1,N/A,R,,52,,dus tshod ,དུས་ཚོད་,2,2,58,58,8,dus tshod,2,date/time,NA,refexpr,19,19,2BECC17540A28,དུས་ཚོད,དུས་ཚོད,,,FALSE,3,N,nonPron,na,i,none,l,<0> དུས་ཚོད་ ཡོད་ པས །,12C13D9CD6D1F,163697E5EBDD7,ཡོད་ པས,ཡོད,པས,Q,Ego,Neutral,NA,59,,0,0,1,0,0,0,1,0,0,0,0,0,0,FALSE,FALSE
3D168ED8518F,three-flirt-2501,631DDEED871F,1EF9831170D48,1B0C591475AA,6,EXIST,8,1,1,R,,58,,dus tshod ,དུས་ཚོད་,3,3,64,64,8,dus tshod,2,date/time,NA,refexpr,20,20,35730D8E24CB,དུས་ཚོད,དུས་ཚོད,,,FALSE,3,N,nonPron,na,i,none,l,དེ་རིང་ དགོང་དག་ དུས་ཚོད་ ག་པ ར་ ཡོད་ རེད །,B4CB60D6AE86,27D78D2CA4FA8,ཡོད་ རེད,ཡོད,རེད,Q,Ind,Neutral,NA,67,,1,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE
197A40E08A08D,three-flirt-2501,2A586FEBAD7EE,21D2590236A7E,31C130755B7B,12,EXIST,7,1,3,R,,68,,de ring ,དེ་རིང་,1,1,75,75,7,de ring,3,date/time,NA,refexpr,23,23,2CE28845012EF,དེ་རིང,དེ་རིང,,,FALSE,3,N,nonPron,d,i,none,l,དེ་རིང་ ཡོད་ པ །,16D5E8B7AEB09,B39B246E4A70,ཡོད་ པ,NA,NA,Ind,Ego,Neutral,NA,76,,2,0,0,0,2,0,0,0,0,0,0,0,0,FALSE,FALSE
2DE10D0EB9CF1,three-flirt-2501,191DA05D728AB,,75C526ED6340,N/A,S,38,6,N/A,R,,,,nga  tsho 'i  slob grogs  rnying pa  de gyad da,ང་ ཚོ འི་ སློབ་གྲོགས་ རྙིང་པ་ དེ་གྱད་ད,1,6,79,84,11,phur sgron dang zla ba'i slob grogs,2,person,NA,refexpr,24,24,2E9EB06A19E4A,ང་ ཚོ འི་ སློབ་གྲོགས་ རྙིང་པ་ དེ་གྱད་ད,ང་ཚོའི་སློབ་གྲོགས་རྙིང་པ་དེ་གྱད་ད,,,FALSE,3,N,pers,d,i,agent,p,ང་ ཚོ འི་ སློབ་གྲོགས་ རྙིང་པ་ དེ་གྱད་ད ,766C9862C4DC,2429437675322,འགྲོ་ མཁན་  རེད་ ཤག,འགྲོ,མཁན་  རེད་ ཤག,Ind,Sens,Perf,NA,90,,0,0,1,0,0,0,1,0,0,0,0,0,0,FALSE,FALSE
2A29DB25F9AD1,three-flirt-2501,305D32470FCCB,,1306867643829,N/A,OBL,7,2,N/A,R,,,NA,nang ma ra ,ནང་མ ར་,3,4,88,89,12,nang ma,3,location,NA,refexpr,25,25,2D66E32E00050,ནང་མ ར,ནང་མ,ར,,FALSE,3,N,nonPron,na,i,location/goal,l,འགང་ག་  ནང་མ ར་ འགྲོ་ མཁན་  རེད་ ཤག,766C9862C4DC,2429437675322,འགྲོ་ མཁན་  རེད་ ཤག,འགྲོ,མཁན་  རེད་ ཤག,Ind,Sens,Perf,NA,90,,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
26479BA743FF9,three-flirt-2501,10D53978FDD25,BC89EA54142A,8DF3FA68DDB0,25,S,3,1,5,R,,,NA,rang ,རང་,1,1,95,95,1,phur sgron,14,person,NA,refexpr,26,26,19EE6259C723A,རང,རང,,,FALSE,3,?,refl?,d,i,agent,p,རང་ <0> མཉམ་དུ་ <0> འགྲོ་ གས །,2C1D550BFCEC2,34C3F2954C79D,འགྲོ་ གས,འགྲོ,གས,Q,Ego,Fut,NA,99,,2,1,1,1,4,3,2,3,2,2,1,2,0,FALSE,FALSE
183626769FE84,three-flirt-2501,10D53978FDD25,2E7B489085DA1,353E1AAB91FDA,10,COPS,2,1,2,R,,96,,nga ,ང་,1,1,105,105,1,phur sgron,14,person,NA,refexpr,28,28,B5B579441813,ང,ང,,,FALSE,1,N,pers,d,i,theme,p,ང་ དོ་དགོང་ དགོང་དག་ ལས་ཀ་ ཡོད །,254972596ADC2,2F3047508446F,ཡོད,ཡོད,,Ind,Ego,Neutral,NA,109,,2,1,1,1,5,3,1,3,3,2,0,2,0,FALSE,TRUE
2A8F40EF9EC20,three-flirt-2501,12BD753A4F1E0,,FEB041CD4006,N/A,EXIST,5,1,N/A,R,,99,,las ka ,ལས་ཀ་,4,4,108,108,15,las ka,1,abstract,NA,refexpr,28,28,1709090A856AA,ལས་ཀ,ལས་ཀ,,,FALSE,3,N,nonPron,na,i,none,l,ང་ དོ་དགོང་ དགོང་དག་ ལས་ཀ་ ཡོད །,254972596ADC2,2F3047508446F,ཡོད,ཡོད,,Ind,Ego,Neutral,NA,109,,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
331FBF3D3A55E,three-flirt-2501,1AAFAB8F7CC73,,209624FCF210F,98,S,4,2,25,R,,,NA,nga s,ང ས་,2,3,116,117,17,zla ba,5,person,NA,refexpr,31,31,31C849FA1A58E,ང ས,ང,ས,,FALSE,1,N,pers,d,i,theme,p,ད་ ང ས་ ཧ་ གོ་ སོང་ །,1B95F681689D5,1C1BB23881C2F,ཧ་ གོ་ སོང་,ཧ་ གོ,སོང,Ind,Sens,Past,NA,118,,0,0,1,0,0,1,2,1,0,1,1,1,0,FALSE,TRUE
