id,doc,chain,sourceLink,token,gapWords,TrailSeq,charCount,tokenCount,gapUnits,roleType,kind,endNote,lit,POS_dft,wordWylie,word,tokenOrderFirst,tokenOrderLast,docTokenSeqFirst,docTokenSeqLast,chainCreateSeq,name,trailLayer,chainSize,entityType,layer,unitSeqFirst,unitSeqLast,treeEntry,combinedChunk,TextNoTsheg,TextNoCase,case,yang,ni,possessor,person,id_lower,doc_lower,unitStart,unitEnd,pID,inClique,srtLineStart,srtLineBo,iuEnd,iuStart,srtLineEn,iu,srtLineID,iuText,speaker,srtLineEnd,word_lower,wordWylie_lower,docTokenSeqFirst_lower,docTokenSeqLast_lower,reflexive,pronType,definite,identifiable,semrole,lexicality,referential,unitLastWord,treeParent,verbID,verbWord,lemma,suffix,force,evidMod,TA,subord,gender,number,verbTokenSeqFirst,noPrevMentions,noPrevZero,noNextMentions,noNextZero,allPrevMentions,allPrevZero,allNextMentions,allNextZero,noPrevMentionsFar,noPrevZeroFar,noNextMentionsFar,noNextZeroFar,bridge,haveBridges,local
uBdSHtFOFUq,young-fight1-11786,Fd0GMhmX5EP,,zyFLHgQcAoh,N/A,1,8,1,N/A,A,,,,,khyod rang ,ཁྱོད་རང་,1,1,1,1,4,bkra shis nor bu,NA,18,person,refexpr,1,1,2SCxhQNva8t,,ཁྱོད་རང,ཁྱོད་རང,NA,,,FALSE,2,spxitpNFIBO,young-fight1-11786,0.8964976013176573,1.7294091285400246,NA,NA,0.267,ཁྱོད་རང་ངའི་དངུལ་འདི་གས་འཁྱེར། ངར་ཡ་ལས་ཀ་ན་ཅིག་བསྒྱུར་གོ་ཟེར། ག་དུས་བསྒྱུར་ནའི་ཡིན་པ་ཀས། ,1.7294091285400246,0.8964976013176573,You took money from me and assured me that you would help transferred to another job. When are you going to do this?,1,1,ཁྱོད་རང་ངའི་དངུལ་འདི་གས་འཁྱེར། ,བསྐལ་བཟང་ཕུན་ཚོགས་,3.199,ཁྱོད་རང་ ང འི་ དངུལ་ འདི་ གས་ འཁྱེར །,khyod rang  nga 'i  dngul  'di  gas  'khyer /,1,8,N,pers,d,i,NA,p,R,ཁྱོད་རང་ ང འི་ དངུལ་ འདི་ གས་ འཁྱེར །,HKYFp5vhNIF,SUm4KQkG3HW,འཁྱེར,འཁྱེར,,Ind,None,Neutral,NA,M,sg,7,0,0,2,0,0,0,9,0,0,0,7,0,0,FALSE,TRUE
dygaiP2bTGF,young-fight1-11786,ax7oUmhuvAp,,XejXItsHJ0Q,N/A,1,20,5,N/A,P,,,,,nga 'i  dngul  'di  gas ,ང འི་ དངུལ་ འདི་ གས་,2,6,2,6,3,dngul,NA,10,thing,refexpr,1,1,RPB7AE8eDYh,,ང འི་ དངུལ་ འདི་ གས,ངའི་དངུལ་འདི་གས,NA,,,FALSE,3,spxitpNFIBO,young-fight1-11786,0.8964976013176573,1.7294091285400246,NA,NA,0.267,ཁྱོད་རང་ངའི་དངུལ་འདི་གས་འཁྱེར། ངར་ཡ་ལས་ཀ་ན་ཅིག་བསྒྱུར་གོ་ཟེར། ག་དུས་བསྒྱུར་ནའི་ཡིན་པ་ཀས། ,1.7294091285400246,0.8964976013176573,You took money from me and assured me that you would help transferred to another job. When are you going to do this?,1,1,ཁྱོད་རང་ངའི་དངུལ་འདི་གས་འཁྱེར། ,བསྐལ་བཟང་ཕུན་ཚོགས་,3.199,ཁྱོད་རང་ ང འི་ དངུལ་ འདི་ གས་ འཁྱེར །,khyod rang  nga 'i  dngul  'di  gas  'khyer /,1,8,N,nonPron,na,i,theme,l,R,ཁྱོད་རང་ ང འི་ དངུལ་ འདི་ གས་ འཁྱེར །,HKYFp5vhNIF,SUm4KQkG3HW,འཁྱེར,འཁྱེར,,Ind,None,Neutral,NA,N,pl,7,0,0,1,0,0,0,8,0,0,0,7,0,0,FALSE,FALSE
1O5egNUTbaX,young-fight1-11786,xYqeJ8kryr0,,OLTqQEhPeTc,N/A,1,7,3,N/A,R,,,,,nga ra  ya ,ང ར་ ཡ་,1,3,9,11,2,bskal bzang phun tshogs,NA,8,person,refexpr,2,2,iBR8xTNwfo3,,ང ར་ ཡ,ངར་ཡ,NA,,,FALSE,3,XomEcbskNuN,young-fight1-11786,1.7294091285400246,2.579672979246191,NA,NA,0.267,ཁྱོད་རང་ངའི་དངུལ་འདི་གས་འཁྱེར། ངར་ཡ་ལས་ཀ་ན་ཅིག་བསྒྱུར་གོ་ཟེར། ག་དུས་བསྒྱུར་ནའི་ཡིན་པ་ཀས། ,2.579672979246191,1.7294091285400246,You took money from me and assured me that you would help transferred to another job. When are you going to do this?,2,1,ངར་ཡ་ལས་ཀ་ན་ཅིག་བསྒྱུར་གོ་ཟེར། ,བསྐལ་བཟང་ཕུན་ཚོགས་,3.199,ང ར་ ཡ་ ལས་ཀ་ ན་ ཅིག་ བསྒྱུར་ གོ་ ཟེར །,nga ra  ya  las ka  na  cig  bsgyur  go  zer /,9,18,N,pers,d,i,NA,p,R,ང ར་ ཡ་ ལས་ཀ་ ན་ ཅིག་ བསྒྱུར་ གོ་ ཟེར །,rteGgvqOqud,c1X8ISFExT7,བསྒྱུར་ གོ་ ཟེར,བསྒྱུར,གོ་ ཟེར,Ind,None,Neutral,Manner,M,sg,15,0,0,1,0,0,0,5,0,0,0,4,0,0,FALSE,FALSE
TYzqb07RSDB,young-fight1-11786,w8Saa9w2Yn4,,9ajGvfxN32J,N/A,1,8,2,N/A,T,,,,,las ka  na  cig ,ལས་ཀ་ ན་ ཅིག་,4,6,12,14,1,las ka,NA,2,abstract,refexpr,2,2,QsXW7ujoBc2,,ལས་ཀ་ ན་ ཅིག,ལས་ཀ་ན་ཅིག,NA,,,FALSE,3,XomEcbskNuN,young-fight1-11786,1.7294091285400246,2.579672979246191,NA,NA,0.267,ཁྱོད་རང་ངའི་དངུལ་འདི་གས་འཁྱེར། ངར་ཡ་ལས་ཀ་ན་ཅིག་བསྒྱུར་གོ་ཟེར། ག་དུས་བསྒྱུར་ནའི་ཡིན་པ་ཀས། ,2.579672979246191,1.7294091285400246,You took money from me and assured me that you would help transferred to another job. When are you going to do this?,2,1,ངར་ཡ་ལས་ཀ་ན་ཅིག་བསྒྱུར་གོ་ཟེར། ,བསྐལ་བཟང་ཕུན་ཚོགས་,3.199,ང ར་ ཡ་ ལས་ཀ་ ན་ ཅིག་ བསྒྱུར་ གོ་ ཟེར །,nga ra  ya  las ka  na  cig  bsgyur  go  zer /,9,18,N,nonPron,na,i,NA,l,R,ང ར་ ཡ་ ལས་ཀ་ ན་ ཅིག་ བསྒྱུར་ གོ་ ཟེར །,rteGgvqOqud,c1X8ISFExT7,བསྒྱུར་ གོ་ ཟེར,བསྒྱུར,གོ་ ཟེར,Ind,None,Neutral,Manner,N,sg,15,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
qOkIo3iyech,young-fight1-11786,Fd0GMhmX5EP,AU8kMtWq84O,UkMPvRj4cPz,36,2,4,2,4,COPLOC,,,,,nga ra ,ང ར་,1,2,37,38,4,bkra shis nor bu,NA,18,person,refexpr,5,5,4lYVb2ixbWS,,ང ར,ང,ར,,,FALSE,1,obwrr7B2xLC,young-fight1-11786,4.0893251223367315,5.16950725920324,NA,NA,3.2,འ་ཙི་ལྟ་དེ་མིས་མ་བྱས་པར་ངར་ཐབས་ཤེས་ག་རེ་ཡོད་རེད། ,5.16950725920324,4.0893251223367315,"If others don't do their work, there is nothing much I can do about it.",5,2,ངར་ཐབས་ཤེས་ག་རེ་ཡོད་རེད། ,བཀྲ་ཤིས་ནོར་བུ་,4.566,ང ར་ ཐབས་ཤེས་ ག་རེ་ ཡོད་ རེད །,nga ra  thabs shes  ga re  yod  red /,37,43,N,pers,d,i,possessor,p,R,ང ར་ ཐབས་ཤེས་ ག་རེ་ ཡོད་ རེད །,XfxYWtsUdr2,pWv2QAAOWmB,ཡོད་ རེད,ཡོད,རེད,Q,Ind,Neutral,NA,M,sg,41,1,0,4,0,1,0,8,0,0,0,4,0,0,FALSE,TRUE
m07NxNL52TL,young-fight1-11786,mXch52Y3vVl,,5QZB15LQzwZ,N/A,1,14,2,N/A,EXIST,,,,,thabs shes  ga re ,ཐབས་ཤེས་ ག་རེ་,3,4,39,40,7,thabs shes,NA,1,abstract,refexpr,5,5,OHXW1wZB118,,ཐབས་ཤེས་ ག་རེ,ཐབས་ཤེས་ག་རེ,NA,,,FALSE,3,obwrr7B2xLC,young-fight1-11786,4.0893251223367315,5.16950725920324,NA,NA,3.2,འ་ཙི་ལྟ་དེ་མིས་མ་བྱས་པར་ངར་ཐབས་ཤེས་ག་རེ་ཡོད་རེད། ,5.16950725920324,4.0893251223367315,"If others don't do their work, there is nothing much I can do about it.",5,2,ངར་ཐབས་ཤེས་ག་རེ་ཡོད་རེད། ,བཀྲ་ཤིས་ནོར་བུ་,4.566,ང ར་ ཐབས་ཤེས་ ག་རེ་ ཡོད་ རེད །,nga ra  thabs shes  ga re  yod  red /,37,43,N,nonPron,na,n,none,l,R,ང ར་ ཐབས་ཤེས་ ག་རེ་ ཡོད་ རེད །,XfxYWtsUdr2,pWv2QAAOWmB,ཡོད་ རེད,ཡོད,རེད,Q,Ind,Neutral,NA,N,sg,41,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
MQbC8m6rWnc,young-fight1-11786,Fd0GMhmX5EP,aR63M5agk4Q,gWqJFjkeRag,14,3,8,1,2,A,,,,,khyod rang ,ཁྱོད་རང་,1,1,51,51,4,bkra shis nor bu,NA,18,person,refexpr,7,7,IN08m9AcFw8,,ཁྱོད་རང,ཁྱོད་རང,NA,,,FALSE,2,nlkxRikpjyL,young-fight1-11786,5.338692413170283,6.509974248326737,NA,NA,4.567,ག་རེའི་མི་མ་བྱས་ན། ཁྱོད་རང་ངར་ཡ་ཉི་མ་ཤ་སྟག་བསྟན་བྱུང་གས། ,6.509974248326737,5.338692413170283,That's a lame excuse. You also told me how many days it will take.,7,3,ཁྱོད་རང་ངར་ཡ་ཉི་མ་ཤ་སྟག་བསྟན་བྱུང་གས། ,བསྐལ་བཟང་ཕུན་ཚོགས་,6.732,ཁྱོད་རང་ ང ར་ ཡ་ ཉི་མ་ ཤ་སྟག་ བསྟན་ བྱུང་ གས །,khyod rang  nga ra  ya  nyi ma  sha stag  bstan  byung  gas /,51,60,N,pers,d,i,agent,p,R,ཁྱོད་རང་ ང ར་ ཡ་ ཉི་མ་ ཤ་སྟག་ བསྟན་ བྱུང་ གས །,ip8z02fxoNA,FNoX3pZG4AG,བསྟན་ བྱུང་ གས,བསྟན,བྱུང་ གས,Q,Ego,Past,NA,M,sg,57,2,0,3,0,2,0,7,0,0,0,4,0,0,FALSE,TRUE
sfjuveXVrBz,young-fight1-11786,xYqeJ8kryr0,u7t6zNLEyj5,ifa6OiHrpql,33,3,7,3,4,R,,,,,nga ra  ya ,ང ར་ ཡ་,2,4,52,54,2,bskal bzang phun tshogs,NA,8,person,refexpr,7,7,5ustDbqNmjl,,ང ར་ ཡ,ངར་ཡ,NA,,,FALSE,3,nlkxRikpjyL,young-fight1-11786,5.338692413170283,6.509974248326737,NA,NA,4.567,ག་རེའི་མི་མ་བྱས་ན། ཁྱོད་རང་ངར་ཡ་ཉི་མ་ཤ་སྟག་བསྟན་བྱུང་གས། ,6.509974248326737,5.338692413170283,That's a lame excuse. You also told me how many days it will take.,7,3,ཁྱོད་རང་ངར་ཡ་ཉི་མ་ཤ་སྟག་བསྟན་བྱུང་གས། ,བསྐལ་བཟང་ཕུན་ཚོགས་,6.732,ཁྱོད་རང་ ང ར་ ཡ་ ཉི་མ་ ཤ་སྟག་ བསྟན་ བྱུང་ གས །,khyod rang  nga ra  ya  nyi ma  sha stag  bstan  byung  gas /,51,60,N,pers,d,i,NA,p,R,ཁྱོད་རང་ ང ར་ ཡ་ ཉི་མ་ ཤ་སྟག་ བསྟན་ བྱུང་ གས །,ip8z02fxoNA,FNoX3pZG4AG,བསྟན་ བྱུང་ གས,བསྟན,བྱུང་ གས,Q,Ego,Past,NA,M,sg,57,1,1,0,1,1,1,4,1,0,0,4,0,0,FALSE,FALSE
lXOLclAawBI,young-fight1-11786,mnvoWyRxUnV,,LUuQFv5TC7H,N/A,1,5,1,N/A,T,,,,,nyi ma ,ཉི་མ་,5,5,55,55,12,nyi ma,NA,1,date/time,refexpr,7,7,JQuVvLEwzLk,,ཉི་མ,ཉི་མ,NA,,,FALSE,3,nlkxRikpjyL,young-fight1-11786,5.338692413170283,6.509974248326737,NA,NA,4.567,ག་རེའི་མི་མ་བྱས་ན། ཁྱོད་རང་ངར་ཡ་ཉི་མ་ཤ་སྟག་བསྟན་བྱུང་གས། ,6.509974248326737,5.338692413170283,That's a lame excuse. You also told me how many days it will take.,7,3,ཁྱོད་རང་ངར་ཡ་ཉི་མ་ཤ་སྟག་བསྟན་བྱུང་གས། ,བསྐལ་བཟང་ཕུན་ཚོགས་,6.732,ཁྱོད་རང་ ང ར་ ཡ་ ཉི་མ་ ཤ་སྟག་ བསྟན་ བྱུང་ གས །,khyod rang  nga ra  ya  nyi ma  sha stag  bstan  byung  gas /,51,60,N,nonPron,na,i,time,l,R,ཁྱོད་རང་ ང ར་ ཡ་ ཉི་མ་ ཤ་སྟག་ བསྟན་ བྱུང་ གས །,ip8z02fxoNA,FNoX3pZG4AG,བསྟན་ བྱུང་ གས,བསྟན,བྱུང་ གས,Q,Ego,Past,NA,N,pl,57,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
kirrFc0ogoP,young-fight1-11786,Fd0GMhmX5EP,SpgBGeouPyo,OJA7szcB9ii,20,6,2,1,2,A,,,,,nga ,ང་,2,2,93,93,4,bkra shis nor bu,NA,18,person,refexpr,13,13,kA5P89WaouZ,,ང,ང,NA,,,FALSE,1,QidsZJI8tjd,young-fight1-11786,10.720011441730179,11.518218321984946,NA,NA,10.333,ཨ་ནི་ང་ག་རེ་བྱེད་དགོས་ཀྱི་རེད། ,11.518218321984946,10.720011441730179,What can I do about it?,13,5,ཨ་ནི་ང་ག་རེ་བྱེད་དགོས་ཀྱི་རེད། ,བཀྲ་ཤིས་ནོར་བུ་,11.332,ཨ་ནི་ ང་ ག་རེ་ བྱེད་ དགོས་ ཀྱི་ རེད །,a ni  nga  ga re  byed  dgos  kyi  red /,92,99,N,pers,d,i,agent,p,R,ཨ་ནི་ ང་ ག་རེ་ བྱེད་ དགོས་ ཀྱི་ རེད །,zja6afwTlQE,S07JiEOUgyk,བྱེད་ དགོས་ ཀྱི་ རེད,བྱེད,དགོས་ ཀྱི་ རེད,Q,Ind,Fut,NA,M,sg,95,2,2,2,2,3,2,6,2,1,0,4,0,0,FALSE,TRUE
